lang,page_id,title,latest_rev_id,bytes,stratum
ar,4540107,MAML2,74022590,6310,short
ar,4538860,KIAA1530,69477154,2517,short
ar,4538585,MBNL1,73179583,8127,short
ar,2781915,MOA-2007-BLG-192Lb,68750155,4261,short
ar,4540438,MRPS35,67173776,4469,short
ar,3011251,LkCa 15 b,73546701,7219,short
ar,4541362,MED9,69477323,1205,short
ar,4540686,MIA2,66721861,4138,short
ar,4074175,K2-3b,67047506,5467,short
ar,4540451,KIF18A,74418212,6237,short
ar,4537807,LIN9,69477231,5816,short
ar,4539062,MAP1B,73179299,8977,short
ar,4542186,MORC3,70103287,4823,short
ar,4540343,KRT81,72937466,7162,short
ar,4538261,KBTBD10,69477126,3938,short
ar,4537810,LMX1A,73178929,5181,short
ar,4540824,MKRN3,69477348,5147,short
ar,4538848,LYAR,65730725,6160,short
ar,4542309,MKL1,73412834,9314,short
ar,4538286,MEIS1,73412823,8690,short
ar,4540809,KCNRG,72817144,7305,short
ar,4539821,KLF14,69477169,1846,short
ar,4538873,MIR1269A,73412832,2923,short
ar,4538285,MCFD2,73412818,6751,short
ar,4539572,LRRC17,73179037,4519,short
ar,4538270,KLF7,73178315,5683,short
ar,4541357,KDM6B,73177912,1726,short
ar,4539792,LHX6,69564900,5965,short
ar,8674877,K2-72e,68296585,1775,short
ar,4538278,LRPPRC,73412797,6815,short
ar,4537821,MCL1,70172094,2170,short
ar,4541973,MAP1S,73412811,6952,short
ar,4541893,MLLT1,60749968,5806,short
ar,4540813,LCTL,60749224,2848,short
ar,4539277,KLC4,73412769,7012,short
ar,4541948,KLK11,72352486,9067,short
ar,4539073,MOCS2,73004629,7041,short
ar,4541280,LGP2,73178670,5389,short
ar,4538276,LPIN1,73178954,6991,short
ar,4537830,MMEL1,69477354,4529,short
ar,4542236,LTN1,69477257,1996,short
ar,9290021,MCAT (جين),73179602,5646,short
ar,4539968,KHDRBS3,74418208,8016,short
ar,4539455,MRPS24,67173770,5608,short
ar,4538887,MEPE,73179843,5119,short
ar,4540464,LMBR1L,73178882,5050,short
ar,4540776,MEX3B,73179856,4796,short
ar,4539147,MRAP2,64152017,5103,short
ar,4537817,Loricrin,73178941,9150,short
ar,4540389,LIMA1,73178742,8019,short
ar,4538279,LRRFIP1,73179083,5681,short
ar,4542157,MAPRE1,73412813,10385,short
ar,4542556,LINC01137,63254689,1277,short
ar,4541174,KRT37,69477193,1794,short
ar,59278,MPEG,73526733,2222,short
ar,8230496,KA9Q,61429724,2655,short
ar,4538830,LIMCH1,69477226,4943,short
ar,4542333,LZTR1,69477262,4418,short
ar,4537818,MAD2L2,74444640,9456,short
ar,4540888,KLF12,73412771,6864,short
ar,4537796,KIRREL,73178196,5348,short
ar,4542259,MIS18A,73179914,5359,short
ar,4540740,MESP1,69477331,3135,short
ar,4540693,KIF5A,73075090,6961,short
ar,4539105,KPNA5,73178401,11062,short
ar,4540572,MBNL2,73179590,5664,short
ar,4540257,KLF6,73178300,10228,short
ar,4538282,MAP3K19,63254696,1223,short
ar,4538895,MMAA,73179975,4590,short
ar,4542115,KIAA1683,73178020,5591,short
ar,4539502,KDM1B,73177898,3110,short
ar,4540567,KIAA0999,69477149,4018,short
ar,4539932,KCNU1,58185935,4342,short
ar,4540125,KIAA0368,69477147,5692,short
ar,4541821,LRP3,69477245,2782,short
ar,4537820,MARCKSL1,73412814,7523,short
ar,4541185,KRT33B,73178431,5144,short
ar,4539409,LAMTOR4,63254684,1244,short
ar,4538579,LMLN,69477234,2131,short
ar,4540536,LHFP,69477223,4366,short
ar,4541298,KRT28,69477189,1882,short
ar,4541962,LIM2,73178728,6962,short
ar,4541014,MPDU1,73412839,6500,short
ar,4541905,KIRREL2,58983470,4730,short
ar,4541873,KLK15,73412777,6746,short
ar,4541337,MRPS7,67173763,5438,short
ar,4539950,LIN7C,74022587,6352,short
ar,4540785,MESDC2,69477330,5811,short
ar,4539114,MOCS1,72351681,9117,short
ar,4540731,MFAP1,73179862,4409,short
ar,4539910,MLLT10,73521214,6387,short
ar,4540983,KRT27,69477188,1493,short
ar,8352090,MEN1,63254699,1370,short
ar,4537800,KPNA6,71913174,11472,short
ar,4541389,KRT25,69477187,1811,short
ar,4541233,KRT36,60749059,4231,short
ar,4539008,LEKTI,73412792,9810,short
ar,4538850,LCORL,66329823,3378,short
ar,4541445,LMAN1,73178856,9187,short
ar,1068454,KW الرامي,66787654,4955,short
ar,4540607,RAP2A,73413086,10394,medium
ar,9488448,آثار الحرب الفلسطينية الإسرائيلية 2023 على المرأة,72371379,29457,medium
ar,1739625,آر بي كي,73111240,11884,medium
ar,4538030,Stratifin,73413237,10125,medium
ar,2884624,آثار الاحتجاجات البحرينية (يوليو - ديسمبر 2011),68049469,32584,medium
ar,9852006,آدم كريستيان جونسون,71822085,15670,medium
ar,3287889,آخر زفير,66341828,12140,medium
ar,3936412,NGC 4041,68752110,10090,medium
ar,10264596,NeVe 1,74161044,20766,medium
ar,8680988,Z (رمز عسكري),74468263,29378,medium
ar,4538644,RBP1,73192027,10730,medium
ar,7243066,آثار الاحتباس الحراري على جنوب آسيا,60762353,23247,medium
ar,8584615,ORF1ab,60755190,26008,medium
ar,3210324,NGC 2060,73181778,10212,medium
ar,4537992,SLAMF6,73413155,10391,medium
ar,8612395,ORF7a,60755217,23258,medium
ar,4539839,RGS3,71776890,12796,medium
ar,4996470,TSC1,73413283,10509,medium
ar,8625478,آدم كورتيس,69863975,10903,medium
ar,4540847,KLF5,73412772,10317,medium
ar,4540099,Uteroglobin,73198902,10229,medium
ar,6504143,آثار العنف في وسائل الإعلام,74022695,59174,medium
ar,6874654,آثار العنف المنزلي على الأطفال,68865714,15740,medium
ar,10027651,آدم زريلاك,71305558,11575,medium
ar,4539377,PLAGL1,73189793,10190,medium
ar,1226005,آثار جبن,68865719,14960,medium
ar,4537888,PEA15,73189178,10335,medium
ar,9734319,آداب العمل,73404630,15712,medium
ar,4069017,PSR B1620-26 b,73413056,18200,medium
ar,9904702,آدم بوهلر,74161299,64307,medium
ar,4292105,Myc,73180563,25364,medium
ar,9134638,آثار تغير المناخ على دورة الماء,74515522,15241,medium
ar,4541106,SNTB2,73413175,10932,medium
ar,704314,آب ستور,72287753,30576,medium
ar,2880915,آرا يسايان,74022948,10064,medium
ar,7328374,آراء أهل المدينة الفاضلة ومضاداتها,74345879,42518,medium
ar,4539684,RP1,74419162,10530,medium
ar,7392184,آر بي إم كي,72888769,13352,medium
ar,6503806,آثار السيارة على المجتمعات,68253406,20837,medium
ar,4537868,NPHS2,73412965,11167,medium
ar,3954506,NGC 6118,68753925,10526,medium
ar,146481,آر تي العربية,74464939,13854,medium
ar,3586834,آثار العمل الإضافي,63727655,13145,medium
ar,4540516,Mammaglobin-A,73179277,10353,medium
ar,8613964,ORF8,61164822,29235,medium
ar,4539835,WDR5,73413337,11740,medium
ar,1550387,YZ قيطس,73699025,11111,medium
ar,3742561,آداب قضاء الحاجة في الإسلام,70414628,19830,medium
ar,10367037,STL,74502729,20369,medium
ar,4540885,SCG5,73193650,12648,medium
ar,3420704,STS-121,69448849,15615,medium
ar,4538056,TOMM20,73197549,13011,medium
ar,5226262,آدم برزيفورسكي,73865444,12693,medium
ar,4541059,RAD51L3,73413081,10025,medium
ar,4538033,TACSTD2,72011169,10100,medium
ar,2009091,XMM-نيوتن,72919733,15179,medium
ar,5678414,آثار جبل الشيخ,74053353,17705,medium
ar,4539782,MPDZ,73412841,10378,medium
ar,6578602,آدم كلايتون باول الأصغر,68782568,15993,medium
ar,509829,آدم محمد نور مدوبي,74022829,10389,medium
ar,4074443,K2-18b,74334239,16224,medium
ar,10190814,PDF/A,74114000,12621,medium
ar,4540399,MYBPC1,73180535,11982,medium
ar,1557638,آثار نهر الكلب,72816219,12898,medium
ar,8625546,آثار التأمل,69467899,159813,medium
ar,4537857,NFASC,73180988,10056,medium
ar,3348684,NGC 6357,68753857,11304,medium
ar,8910979,RS الحواء,73413113,15059,medium
ar,3945692,آدا ويلز,70965683,10480,medium
ar,4538896,WFS1,73183490,18267,medium
ar,4539893,SH3GL2,73194349,10809,medium
ar,4537814,LRRC8D,71937272,10966,medium
ar,9024162,آدم كارولا,74221878,21914,medium
ar,1035311,P الدجاجة,74509094,13276,medium
ar,3958809,NGC 3631,68752363,12200,medium
ar,278740,آدم يحيى غدن,74022866,11324,medium
ar,4539327,Thrombospondin-2,73197013,10375,medium
ar,4537795,KIFAP3,73178172,10932,medium
ar,3644362,آثار استخدام البنزوديازيبين على المدى الطويل,73200614,109596,medium
ar,3281586,آدم (اسم),69399812,33095,medium
ar,4538433,Translin,73197772,10604,medium
ar,9196465,آثار الجزائر,74468827,20043,medium
ar,3082855,آخر مرة (أغنية تايلور سويفت),67537037,12087,medium
ar,7373214,آر-7 سيميوركا,74469991,10039,medium
ar,1706083,آر تو دي تو,74022930,12798,medium
ar,1060752,STS-134,69448894,12367,medium
ar,9966888,آراء النسويات المسلمات حول الحجاب,73200804,16179,medium
ar,4541001,PYCARD,73413059,10506,medium
ar,7026442,آخر يهودي في فينيتسا,74022729,11756,medium
ar,4541425,UBTF,73198590,10097,medium
ar,4538381,RPS27A,73413108,11116,medium
ar,4539214,PPARGC1B,73190318,10348,medium
ar,4542321,UBE2G2,73198442,12678,medium
ar,10219457,آر دي إس-37,73039824,16283,medium
ar,4538360,REG1A,73192190,10061,medium
ar,9313424,آد (جمعية),74469769,15532,medium
ar,9553745,آباء الصحراء,73088696,17581,medium
ar,5110116,آدم فرانك,72081988,13344,medium
ar,7700092,آر سي ريفنج,60327609,11570,medium
ar,287596,آدم كيرتز,73906656,11585,medium
ar,203281,أديشة,74157992,125495,long
ar,2797725,أسطورة أبطال المجرة,74493324,100978,long
ar,10200604,آلات طيران مبكرة,74521792,156041,long
ar,7160083,أحفاد عبد العزيز آل سعود,73552423,77602,long
ar,480979,أسفلت,68254243,54101,long
ar,154202,أطباء بلا حدود,74221439,120507,long
ar,5199087,آلان ميمون,74472131,86344,long
ar,3228740,أشياء غريبة,74425033,149338,long
ar,14850,أصحاب الكهف,73654154,54325,long
ar,895946,آنا تشابمان,74474475,54406,long
ar,8875,أرمينيا,74507261,172270,long
ar,101249,أبو الأعلى المودودي,71454409,126597,long
ar,8678073,أخلاقيات الأعمال,73556931,68472,long
ar,139151,أصول الفقه,74103755,209439,long
ar,21730,أبو حامد الغزالي,74510947,88597,long
ar,6504143,آثار العنف في وسائل الإعلام,74022695,59174,long
ar,117904,آريين روبن,74470595,99982,long
ar,387675,أبو منصور الماتريدي,74011595,50967,long
ar,282317,آلة إنجما,74472455,120880,long
ar,4111291,أغسطس قيصر,74494969,208151,long
ar,10024880,آغي بيفر-جونز,72916028,57697,long
ar,683328,أخميم الجديدة,74145703,60935,long
ar,1779,أحمد ياسين,74106386,103157,long
ar,4832592,أرني سلوت,74491855,68607,long
ar,8607262,أعلام منطقة تشوبو اليابانية,73629499,69406,long
ar,1143983,آل الأسد,73622611,52395,long
ar,8552144,أدب هويسالا,66592707,55156,long
ar,1193747,أحداث شارع محمد محمود,71455293,177363,long
ar,66879,أصدقاء (مسلسل أمريكي),74399120,273308,long
ar,454651,آيرون مان (فلم),74225024,195939,long
ar,20739,أبو جعفر المنصور,74103723,404036,long
ar,7499937,أثر جائحة فيروس كورونا على السجون,73179131,85278,long
ar,955297,آلبورغ,74472489,70692,long
ar,1790663,آيتونز ستور,73970857,53495,long
ar,9750179,أحداث أمستردام (نوفمبر 2024),74245554,114542,long
