lang,page_id,title,latest_rev_id,bytes,stratum
dsb,188,Lisćina serbskich spisowaśelow,147650,4069,short
dsb,6635,Lubochow,141205,1532,short
dsb,506,Nowember,133483,1261,short
dsb,9991,Świdnik,139367,1175,short
dsb,10870,Nowogard,129702,1103,short
dsb,5742,Kragaty mjadwjeź,139384,1631,short
dsb,6334,Machačkala,137047,1128,short
dsb,6364,Marseille,133067,1141,short
dsb,217,Oman,140935,1128,short
dsb,10440,Mrągowo,128245,1239,short
dsb,10005,Zaklików,145288,1056,short
dsb,180,Köln,146626,1899,short
dsb,12855,Marja Młynkowa,139279,2318,short
dsb,309,Załožba za serbski lud,143700,1262,short
dsb,7330,Kłos,135097,1132,short
dsb,1627,Nowe Jěžercy,146589,1286,short
dsb,9209,Zwězkowy kraj,137818,1846,short
dsb,4299,Połčnica (rěka),145811,1969,short
dsb,8082,Piwo,146462,12160,short
dsb,9975,Lidzbark Warmiński,127581,1340,short
dsb,9947,Kościerzyna,127539,1334,short
dsb,13179,Olaf Scholz,146638,1085,short
dsb,5985,Plzeň,146817,2923,short
dsb,2039,Mozilla Firefox,143611,8733,short
dsb,3721,Oceanija,141162,1957,short
dsb,226,Pchjongjang,117839,1373,short
dsb,2400,Pančicy-Kukow,136552,1890,short
dsb,3646,Orkney,141309,1184,short
dsb,308,Zagreb,141308,2534,short
dsb,8373,Zoran Đinđić,122751,1559,short
dsb,6410,Monzón,116844,1199,short
dsb,227,Peru,147640,1507,short
dsb,10019,Zduńska Wola,141247,4002,short
dsb,10012,Piotrków Trybunalski,143751,2868,short
dsb,314,Zjadnośone staty Ameriki,146319,4704,short
dsb,11697,Podstupimske pśinoski k Sorabistice,146615,3629,short
dsb,11936,Źiw se njewospjetujo,147531,1939,short
dsb,6447,Mandžu (lud),141138,2746,short
dsb,7039,Nulowy meridian,144115,10210,short
dsb,7073,Limes Saxoniae,135152,2291,short
dsb,10051,Krośniewice,141277,2422,short
dsb,9889,Łosice,127476,1137,short
dsb,7329,Kłosk,135515,2036,short
dsb,8743,Lubij,146662,3007,short
dsb,11542,Šiprage,144321,3681,short
dsb,187,Lisćina serbskich komponistow,139992,2165,short
dsb,2104,Zgorzelec,147158,2065,short
dsb,4018,Źiwa kšušcyna,116017,2512,short
dsb,10605,Ludza,139743,1411,short
dsb,10025,Łask,127644,1220,short
dsb,10624,Kramatorsk,146885,1629,short
dsb,7503,Leszek Engelking,145122,1031,short
dsb,523,Zjadnośone kralojstwo,145436,2584,short
dsb,8378,Michael Jackson,147698,1259,short
dsb,6279,Kristusowy śerń,135373,3727,short
dsb,3168,Myšyn,141497,5109,short
dsb,6082,Załzowa wišnja,144633,2162,short
dsb,10435,Ostróda,140332,1241,short
dsb,10199,Pomorska,146417,11439,short
dsb,9913,Lubraniec,136777,1039,short
dsb,507,Nimska demokratiska republika,145551,1730,short
dsb,10987,Złocieniec,129989,1155,short
dsb,374,Oktober,133480,1168,short
dsb,10011,Modliborzyce,145291,1261,short
dsb,4645,Kuala Lumpur,144322,1155,short
dsb,10609,Preiļi,139746,1489,short
dsb,8152,Marlene Dietrich,136359,4878,short
dsb,11807,Na mjazy,136419,1556,short
dsb,4000,Měkopackaty sad,116009,1350,short
dsb,3197,Madama Butterfly,134504,3596,short
dsb,8965,Madagaskar,146877,2101,short
dsb,6181,Litawšćina,144529,1074,short
dsb,9928,Nowe Miasto Lubawskie,136802,1335,short
dsb,6284,Zagrodne wjelkowe mloko,135317,2739,short
dsb,5891,Makowe rostliny,116586,3516,short
dsb,4141,Mandlowy bom,147689,3668,short
dsb,9856,Zambrów,141237,2626,short
dsb,4017,Kšušcyna,135099,1047,short
dsb,10172,Krasnobród,127839,1377,short
dsb,3914,Listowy bom,135183,1228,short
dsb,8791,Zwězkowy sejm,146762,1396,short
dsb,4377,Leniski jazor,137212,2054,short
dsb,5580,Šera karwona,142298,1376,short
dsb,6609,Mała rogož,139104,1352,short
dsb,4011,OE 36,146814,4223,short
dsb,6446,Mandžuraja,139953,1146,short
dsb,8978,Małe Antile,141040,1607,short
dsb,230,Portugalska,142240,1034,short
dsb,3122,Šwikawa (rěka),136851,1481,short
dsb,13402,Łucka,145301,4103,short
dsb,5994,Šyroka krjasa,116645,1053,short
dsb,5761,Šupy,135101,2793,short
dsb,220,Osijek,145029,3052,short
dsb,385,Łužyca,141383,1356,short
dsb,6144,Štokawšćina,143945,1107,short
dsb,6549,Kralojska strelicija,133330,1227,short
dsb,9925,Lipno,136868,1125,short
dsb,4514,Mlac (rod),144507,1539,short
dsb,10458,Čerkasy,128266,2021,short
dsb,1635,Šěrachow,143677,3226,short
dsb,5627,Cerwjeny buk,143551,10936,medium
dsb,5870,Finšćina,144663,16280,medium
dsb,8213,Stary Nowgorodski dialekt,143646,11200,medium
dsb,6002,Žerlina,145039,11144,medium
dsb,251,Saarlandska,143638,19063,medium
dsb,5877,Estnišćina,126962,11949,medium
dsb,6912,Geografiske koordinaty,135381,10437,medium
dsb,7245,Guaranišćina,147565,57892,medium
dsb,1473,Magdeburg,145429,11875,medium
dsb,10209,Podolska,146557,10449,medium
dsb,10188,Wjelikopólska,146747,11048,medium
dsb,363,Sonet,146546,12493,medium
dsb,7317,Wokalna harmonija,117220,11337,medium
dsb,5551,DKP,147112,10153,medium
dsb,7291,Maniok,140645,19559,medium
dsb,13756,Tabela wjerchow Pomorskej,146800,20033,medium
dsb,3480,Rostliny,147609,17832,medium
dsb,5984,Dolnoserbsko-nimska lisćina městnych mjenjow,135615,13134,medium
dsb,2360,Nimsko-serbska lisćina městnych mjenjow,147211,215603,medium
dsb,6957,Geografiska dlinina,143412,10513,medium
dsb,8082,Piwo,146462,12160,medium
dsb,13457,Kanal Łobjo-Sprjewja-Odra,147056,12794,medium
dsb,7586,Otfried Preußler,143617,11454,medium
dsb,5780,Płonjak,135312,10270,medium
dsb,7039,Nulowy meridian,144115,10210,medium
dsb,203,Mina Witkojc,145483,14696,medium
dsb,9083,Grod Lemberk,147598,13553,medium
dsb,2553,Mali,144478,28568,medium
dsb,5648,Tokpisinšćina,144574,54701,medium
dsb,7167,Karol Duchoň,143780,13004,medium
dsb,6090,Janowy krick,135000,11731,medium
dsb,6147,Rusińska rěc,146801,12016,medium
dsb,7354,Swahilšćina,145426,12683,medium
dsb,5892,Toki Pona,147135,29596,medium
dsb,4966,Kóšowe kwětarje,143834,12947,medium
dsb,4147,Gubin,145107,11146,medium
dsb,10199,Pomorska,146417,11439,medium
dsb,4143,Janšojce,141660,12216,medium
dsb,10183,Małopólska,141833,11994,medium
dsb,3995,Jabłušcyna,147258,12950,medium
dsb,361,Serbisko-chorwatska rěc,146103,10727,medium
dsb,6154,Pśeglěd rěcnych swójźbow,146089,19800,medium
dsb,2912,Jezus Kristus,144291,32435,medium
dsb,7023,Europeada,147133,24522,medium
dsb,9771,Sardišćina,144508,25290,medium
dsb,6671,Šlazyńske wójwodstwo,147213,12631,medium
dsb,2091,Stawizny Serbow,147051,18010,medium
dsb,5942,Górkacowe rostliny,145056,10437,medium
dsb,3689,Sibirska,146641,18741,medium
dsb,3623,Skandinawiska,145187,15743,medium
dsb,5935,Wenedyk,144025,10605,medium
dsb,2360,Nimsko-serbska lisćina městnych mjenjow,147211,215603,long
dsb,7245,Guaranišćina,147565,57892,long
dsb,5648,Tokpisinšćina,144574,54701,long
