lang,page_id,title,latest_rev_id,bytes,stratum
en,18323058,"Up, Down, Fragile",1341469352,4552,short
en,43819430,Up & Down (EXID song),1341859968,15741,short
en,37300652,Up Pops Ramsey Lewis,1305950695,4232,short
en,8202428,Up on the Housetop,1284484383,4989,short
en,62125837,Up Jumped Spring,1326310546,4867,short
en,13203407,Upahl,1234995388,1086,short
en,3054251,Up on the Downs,1041116219,2794,short
en,5110187,Up! Tour,1306572918,19560,short
en,78198876,Up (Aespa song),1335661795,21322,short
en,69875678,Up 2 Me,1350844396,10803,short
en,60300914,Upadoo,1348366573,4064,short
en,1747707,Up Records,1345105387,6830,short
en,60324683,Up Jumped Benny,1291542535,3698,short
en,28228461,Up in the Air (soundtrack),1332668554,12444,short
en,2315752,Upadhi,1305762354,3219,short
en,1836579,Up the Down Steroid,1346565766,8105,short
en,2324298,Up the Junction (song),1350606768,6786,short
en,17001208,Up4Sale,1343699434,4262,short
en,46816282,Up (Pop Evil album),1310821260,7862,short
en,49735751,Upala Airport,1344164070,2968,short
en,41469883,Upachayasthanas,1122304500,7692,short
en,16974189,Upahuacho District,1345835741,3649,short
en,965220,Up All Night (Razorlight album),1352813457,14393,short
en,27562842,Up in Duke's Workshop,1309753054,4624,short
en,34208612,Up with the White and Gold,1332686219,4282,short
en,36918179,Up in Smoke (NCIS),1267443635,7013,short
en,22804895,Up (video game),1331498622,14644,short
en,79872917,UpShot League,1353178139,19530,short
en,57745738,Up opening sequence,1350938571,16127,short
en,59775429,Up in the Clouds (Skegss song),1345616096,2353,short
en,29459826,Up Close (Eric Johnson album),1332634613,5091,short
en,8525416,Up Close and Dangerous,1318789901,4774,short
en,9446254,Up the River,1339474732,7031,short
en,7840748,UpToDate,1352038883,4931,short
en,36120552,Up to Speed,1345969353,5770,short
en,23852401,Up Till Now,1305951637,2913,short
en,8383300,Upadhan,1252237184,2032,short
en,58211203,Up for Grabs (album),1321513147,4059,short
en,3288996,Up for the Down Stroke,1344764820,8844,short
en,51589500,Up Close and Personal (Judith Durham album),1251479097,5099,short
en,60730700,Up to Snuff,1339102775,8292,short
en,19298319,Up North (book),1345610616,1996,short
en,43406121,Up the Rebels,1351707816,1906,short
en,44684600,Up Country Lions,1351215212,6067,short
en,43195017,Up in Hell,1292377938,5793,short
en,48584000,Up&Up,1344866386,40099,short
en,33388909,Up (James Morrison song),1352007842,9758,short
en,42723490,Up-N-Away (down-sliding shower door),1345645557,1684,short
en,12912303,Up Holland High School,1339762383,6030,short
en,82242217,UpScrolled,1350306390,16909,short
en,9009215,Up the Junction (film),1339373942,12763,short
en,74107213,Up to the Cloud,1340045788,6085,short
en,4118550,Up in a Heaval,1333702533,1742,short
en,33428103,Up All Night (One Direction album),1350668120,131218,short
