lang,page_id,title,latest_rev_id,bytes,stratum
es,5606274,Wolfgang Brezinka,130642355,1786,short
es,9020427,Wladimir Kaminer,155371446,3955,short
es,2665565,Wolf's Lair Abyss,172585577,1828,short
es,5923281,Wola Korycka Dolna,156984413,2151,short
es,10248223,Wolf Gold,170412238,6968,short
es,3143690,Wolfgang Holzmair,156407097,3568,short
es,458569,Wodzisław Śląski,157390119,4424,short
es,10774877,Wola Błędowa,159413082,1026,short
es,5923290,Wola Korycka Górna,156981892,2164,short
es,6884373,Woldemar Bargiel,159705711,2796,short
es,5460402,Wladimiro Panizza,158548761,6161,short
es,7447819,Wolfgang Beurer,96004588,2409,short
es,8521609,Wolferschwenda,120557733,1906,short
es,7093048,Wolff Stadium,157818381,1913,short
es,5904640,Woehleria,124481916,1344,short
es,6976835,Wolfgang Behringer,171307905,3546,short
es,6976954,Wolfe Morris,164711364,3366,short
es,3104171,Wojciech Karolak,156435956,1566,short
es,10082635,Wola Drzewiecka,141228568,1005,short
es,4372283,Wolcott (Nueva York),156933211,2979,short
es,8320159,Wolfgang Killing,160319053,1415,short
es,2974001,Wolfgang Laib,164926430,3203,short
es,11167549,Wolfgang Albert Riederer von Paar,166746696,3967,short
es,3423137,Wojciech Fibak,162449259,28906,short
es,8135994,Wolf (cráter),169352601,3867,short
es,7670415,Wladimir Wáclav Heinrich,172746084,1935,short
es,11302521,Wolfgang Kiessling,171332222,7465,short
es,6584337,Wojciech Sekuła,164712840,2467,short
es,8583029,Wolfern,120585384,1012,short
es,9876924,Wojciech Włodarczyk,173299651,2747,short
es,4747313,"Wolf River (condado de Winnebago, Wisconsin)",152754104,3935,short
es,6642270,Wolf (climatización),169352595,1537,short
es,9968924,Wojciech Waleczek,171653889,17342,short
es,4242316,"Woe, Is Me",169717725,20927,short
es,2556849,Wolfgang (banda),172489272,1028,short
es,2014972,Wodyetia,169350113,5547,short
es,4033022,Wola Miastkowska,156976662,2186,short
es,7809094,Wojciech Pszczolarski,170158553,2755,short
es,6935739,Wojciech Reszko,169032736,1707,short
es,4410835,Wolcott (Connecticut),157073205,2945,short
es,1362689,Woke Up This Morning,124408037,2096,short
es,219952,Wolfgang Becker,164333426,2195,short
es,7025771,Wladimiro De Liguoro,168159995,3612,short
es,9014815,Wolfgang Dittrich,160554639,1514,short
es,8542101,Wolfersdorf (Baviera),120567321,1196,short
es,4686272,Woburn (Massachusetts),171894523,8114,short
es,44051,Wolf's Rain,173203755,18061,short
es,7418872,Woke up with a Monster,130390268,2769,short
es,2485756,Wolfgang Amadeus Mozart en la cultura popular,157768685,10212,short
