lang,page_id,title,latest_rev_id,bytes,stratum
eu,1218940,Zulma Carraud,10015802,4358,short
eu,1020420,Zuloak (musika taldea),9535561,1663,short
eu,1103292,Zodiakoko zeinu,9669681,13882,short
eu,938592,Zuloaga Museoa (Segovia),8589425,2040,short
eu,1091995,Zuhurtasun printzipio,9629932,5995,short
eu,541357,Zulu Dawn,9831213,2143,short
eu,1223186,Zokor-mazo,10041676,1213,short
eu,1238950,Zulma Janeth Dueñas Gómez,10237392,5419,short
eu,902193,Zombieland,10411411,2378,short
eu,363122,Zopa,10026272,4368,short
eu,1106889,Zohra Drif,9425790,11054,short
eu,1095054,Zona mesopelagiko,9231045,2929,short
eu,648446,Zornotzako Udala,7689015,6331,short
eu,102853,Zokoko itsasargia,10316021,1202,short
eu,747008,Zsuzsanna Lorántffy,9530493,1123,short
eu,853484,Zoila Askasibar,9326497,5019,short
eu,239225,Zorrotz begiratutako trenak (eleberria),9050367,2492,short
eu,969068,Zorroztarri,9928932,1645,short
eu,1056774,Zoran Mušič,8947127,1356,short
eu,741454,Zona erogeno,8972816,4416,short
eu,1284398,Zuberoa Andrés Mendizabal,10596494,3658,short
eu,586670,Zorizko saiakuntza,8888599,2021,short
eu,1213989,Zortzien taldea,9970846,6959,short
eu,1140866,Zopako,10615540,1483,short
eu,226358,Zuhaitz aparteko,9447126,15346,short
eu,308834,Zuhaitz-ahate javatar,10212970,1352,short
eu,101843,Zuku,10520338,35113,short
eu,117051,Zohota,9597351,4340,short
eu,843798,Zorpetze-ratio,9056737,1204,short
eu,1012476,Zuharpetako karrika,8604056,1504,short
eu,426968,Zonosaurus,7385812,1217,short
eu,52583,Zorroaga,8589232,2032,short
eu,571399,Zor gorrotagarri,10454312,1342,short
eu,149698,Zortziko,10624174,20532,short
eu,52496,Zona Especial Norte (diskoa),9242789,2322,short
eu,960253,Zr. Lehendakari,8876954,1022,short
eu,573268,Zulagailu,10623075,3100,short
eu,148428,Zorion Egileor,10410310,8412,short
eu,1024247,Zugarraga,9185150,2419,short
eu,225338,Zornotzako ituna,10215859,1634,short
eu,15982,Zufia,10014411,2306,short
eu,1133045,Zulfiya,9933457,6924,short
eu,1193680,Zubietako Batzarra,9857981,2945,short
eu,838991,Zoolander 2,10270619,3571,short
eu,243094,Zuketa eta xuketa,9788444,2452,short
eu,601336,Zuiderkerk,9596318,1124,short
eu,1066452,Zugaztietako putzuak,10538391,1172,short
eu,1043066,Zolotonoxa raiona,8862494,1107,short
eu,362265,Zonosaurus madagascariensis,10163023,1066,short
eu,960549,Zodacita,8972811,1671,short
eu,967691,Zuastiko geltokia,8820792,4471,short
eu,733107,Zubi Zaharra (Ondarroa),10457399,2198,short
eu,686649,Zootopia,10430359,1214,short
eu,1052423,Zubi-garuntxo,8953316,4909,short
eu,376343,Zornotzako geltokia,10262679,6680,short
eu,65439,Zorion perfektua,9663436,1675,short
eu,980940,Zone Blanche (telesaila),9200477,1311,short
eu,100860,Zuberoako bizkonderria,9618635,3812,short
eu,325902,Zuhaixka-txolarre bekaingorri,10213977,1178,short
eu,1004144,Zoropsis spinimana,10260359,2001,short
eu,203416,Zopirion,8589202,2079,short
eu,104427,Zorrozabalenea,9190979,1300,short
eu,1270215,Zoia Baxarina,10578218,3636,short
eu,1205052,Zulya Kamalova,10549317,4891,short
eu,589658,Zoru irradiatzaile,8772555,2609,short
eu,731472,Zoran Planinić,8831030,1030,short
eu,342911,Zonbia San Mamesen,7292614,1261,short
eu,166129,Zubiri Manteo institutua,10485304,1515,short
eu,1187460,Zoltán Tildy,10498961,1479,short
eu,4029,Zuberoa,10618075,43196,short
eu,12789,Zulu,7206587,4660,short
eu,960548,Znucalita,8972810,1476,short
eu,119611,Zubieta (Lemoa),7364443,1103,short
eu,159214,Zornotzako Nazioarteko Krosa,10483781,15416,short
eu,1182243,Zozibini Tunzi,9898754,5549,short
eu,380629,Zoriontasunaren Nazioarteko Eguna,9199417,1437,short
eu,102011,Zotz egiteko formula,10262684,1361,short
eu,1014810,Zoé Héran,10131765,2052,short
eu,42374,Zuhaitz sare,7210702,1197,short
eu,171670,Zooplankton,9987059,1270,short
eu,1065817,Zsh,9019703,2905,short
eu,648760,Zubieta jauregia,8992457,4748,short
eu,1178534,Zoon politikon,10301987,3166,short
eu,1238977,Zuhaitz filogenetiko,10482712,11979,short
eu,1255156,Zortziko (argitaletxea),10368065,1494,short
eu,103680,Zuberoa/Askatasunaren semeei,9789339,1602,short
eu,668777,Zsa Zsa Gabor,10558511,3375,short
eu,597681,Zonalde urdinak,8507653,1995,short
eu,366349,Zubi Zaharra (Balmaseda),10030654,2144,short
eu,960552,Zoltaiita,9838493,1317,short
eu,5697,Zoologia,10452836,5157,short
eu,1186749,Zulma Brandoni de Gasparini,9846665,14018,short
eu,73919,Zozo,10435795,14756,short
eu,343211,Zoe Saldana,10577161,3070,short
eu,675993,Zuhaitza eta etxeak,9262581,2070,short
eu,126610,Zuhaitz-igel arrunt,10476702,5092,short
eu,118058,Zokotze,9597427,3952,short
eu,77094,Zormendi,10340663,2218,short
eu,835132,Zugandik metro batera,7197577,1228,short
eu,150942,Zornoztegi,10474294,4515,short
eu,65826,Harry Houdini,10350748,11200,medium
eu,1198030,Harriet Boyd Hawes,9880263,12101,medium
eu,1035200,Hardware informatikoaren historia,9631967,37946,medium
eu,53567,Henry Fonda,10052333,24283,medium
eu,939738,Hiru bidelapurrak,9083491,10698,medium
eu,1032024,Hiru kuboen batura,10461218,26775,medium
eu,14302,Hego Euskal Herriko foruak,10422022,24668,medium
eu,22922,Heinrich Himmler,10567973,13150,medium
eu,1100625,Henrietta H. Fore,10507662,12778,medium
eu,578821,Hiram Stevens Maxim,9452531,10714,medium
eu,23986,Hebreera,10544828,29240,medium
eu,50831,Haitzuloaren alegoria,10400749,27832,medium
