lang,page_id,title,latest_rev_id,bytes,stratum
fa,6501774,IMP ادینبورگ,43309851,13476,short
fa,1103716,ISO 3166-2:LU,28117584,1681,short
fa,2084137,FreeSBIE,33463070,3146,short
fa,1103820,ISO 3166-2:TZ,34442653,2843,short
fa,6356271,HathiTrust,40296894,7643,short
fa,4302568,FAT TOM,41145297,1039,short
fa,4809118,EMR,42952802,5448,short
fa,4801710,FZD8,42953048,4906,short
fa,1103752,ISO 3166-2:GN,36870841,1548,short
fa,1103732,ISO 3166-2:VN,34161246,4511,short
fa,295491,E۸۵,34135510,4526,short
fa,1103897,ISO 3166-2:PY,38804144,2190,short
fa,1103885,ISO 3166-2:ML,24911591,1944,short
fa,5225711,HSPA7,28748820,1950,short
fa,1170170,Gالینا (آلاسکا),41566891,4312,short
fa,6123797,GABARAP,42953060,3810,short
fa,6062364,ELP2,35143639,3492,short
fa,6771866,Ex (ویرایشگر نوشتار),42890385,4936,short
fa,1103824,ISO 3166-2:AD,35220121,1949,short
fa,930832,Hosts,39987834,12851,short
fa,1103870,ISO 3166-2:CF,34180383,2780,short
fa,1103840,ISO 3166-2:RS,34168708,1601,short
fa,4801677,FZD5,42953040,6906,short
fa,1103777,ISO 3166-2:GT,29191639,2608,short
fa,1103966,ISO 3166-2:VI,18567718,2462,short
fa,517039,Fsck,43309699,3735,short
fa,91951,H,42996996,3509,short
fa,1103931,ISO 3166-2:FK,37713185,1712,short
fa,1103974,ISO 3166-2:BQ,28384585,1531,short
fa,1103953,ISO 3166-2:NF,37670042,1620,short
fa,5193479,HDAC7,42953382,10892,short
fa,1103760,ISO 3166-2:KZ,37721768,2682,short
fa,1103805,ISO 3166-2:SV,35987936,2399,short
fa,6071395,INTS7,35259637,2874,short
fa,1103947,ISO 3166-2:GB,40420874,1967,short
fa,91948,E,43179221,3923,short
fa,5011945,FYN,42953021,12724,short
fa,1103847,ISO 3166-2:VC,25044963,2255,short
fa,6210397,Fdb.pl,41090588,3674,short
fa,1103903,ISO 3166-2:SG,24884060,1930,short
fa,2077194,Exec,34869579,8411,short
fa,4280041,GSDMD,28384409,2257,short
fa,4328385,FOXP3,42952993,14180,short
fa,1103787,ISO 3166-2:CO,35135804,2517,short
fa,1103829,ISO 3166-2:DM,37798906,2398,short
fa,4884426,FBXO5,42952899,8277,short
fa,5100571,ITU G.992.5 Annex M,41090594,2360,short
fa,1103902,ISO 3166-2:SL,37436485,1956,short
fa,1103759,ISO 3166-2:FI,36886841,1925,short
fa,1103869,ISO 3166-2:CM,34130787,1849,short
fa,5163471,FGF7,42952931,10518,short
fa,1103955,ISO 3166-2:PF,35417800,1532,short
fa,1103891,ISO 3166-2:NA,25087039,2039,short
fa,1103907,ISO 3166-2:SY,34208871,2198,short
fa,1103969,ISO 3166-2:WF,38258566,1650,short
fa,1103839,ISO 3166-2:PW,38906359,2284,short
fa,4137185,HTTP ۳۰۲,20761755,2067,short
fa,1103924,ISO 3166-2:BL,24883968,1533,short
fa,1103818,ISO 3166-2:TT,34435362,1651,short
fa,1103941,ISO 3166-2:IO,37790597,1615,short
fa,4804166,GPR98,42953168,7522,short
fa,6191996,Document DB,43659039,3421,short
fa,1103806,ISO 3166-2:PT,34751361,1611,short
fa,6490889,FLOW-MATIC,39827299,9177,short
fa,4804224,GPR133,43671142,3539,short
fa,4801674,FZD4,42953028,8462,short
fa,1103932,ISO 3166-2:FO,37027458,1706,short
fa,1103740,ISO 3166-2:MX,24884699,2488,short
fa,5686166,HP-65,39071509,1051,short
fa,1103801,ISO 3166-2:DJ,30532014,2008,short
fa,1103946,ISO 3166-2:MA,24884315,1546,short
fa,4804174,GPR111,42953144,3265,short
fa,1103795,ISO 3166-2:BG,36087004,3078,short
fa,1103920,ISO 3166-2:AW,24884302,1491,short
fa,1103951,ISO 3166-2:MS,37856836,1492,short
fa,1103862,ISO 3166-2:IQ,34209458,2352,short
fa,1103727,ISO 3166-2:RU,34241567,6549,short
fa,5192382,HDAC8,42953386,11422,short
fa,1103753,ISO 3166-2:AZ,37551041,1846,short
fa,1103850,ISO 3166-2:PE,36870667,2029,short
fa,1103973,ISO 3166-2:SX,24884551,1499,short
fa,4761988,GAPDHS,26989494,7937,short
fa,4804280,GPR144,42953159,2575,short
fa,1103949,ISO 3166-2:MP,38343747,1709,short
fa,4308400,GRB7,42953257,11291,short
fa,4827683,HP-35,32285242,1738,short
fa,1103804,ISO 3166-2:EC,23755255,2272,short
fa,5206318,HDAC1,42953353,25380,short
fa,1103945,ISO 3166-2:PS,42361437,1692,short
fa,1103960,ISO 3166-2:RE,38505347,1673,short
fa,1103725,ISO 3166-2:NG,24884540,3125,short
fa,4328823,HTH,42953446,5784,short
fa,802697,Exit (دستور),24838214,1557,short
fa,1103747,ISO 3166-2:DK,36887025,1900,short
fa,5206328,HDAC3,42953364,9031,short
fa,4346325,FADD,42952895,9926,short
fa,1103756,ISO 3166-2:RO,38269272,1676,short
fa,4408842,Hanley,41061335,1462,short
fa,4309320,HBEGF,42953314,10039,short
fa,1103858,ISO 3166-2:SR,34407949,2058,short
fa,92157,آبدانان,43586974,10926,medium
fa,6123801,MAP1LC3B,40496150,32404,medium
fa,4314517,SMN1,40897731,10238,medium
fa,16827,آبان,43493377,19289,medium
fa,6407919,آبکاری الکترولیتی مس,39929495,13635,medium
fa,6320492,آتش‌سوزی‌های جنگلی هاوایی ۲۰۲۳,38344830,28635,medium
fa,4607880,Nav1.4,42953615,10898,medium
fa,1482129,آئروگرافیت,36568712,15312,medium
fa,65941,آجیل,42597827,14689,medium
fa,6123799,GABRG2,42953079,11644,medium
fa,5396161,TRPV1,42954162,23074,medium
fa,6502451,SQL توزیع شده,43310472,10136,medium
fa,6794336,آثار معماری و هنری ویتوریانو,42751955,19646,medium
fa,6879713,آتش‌کشتی,43609306,31180,medium
fa,4925296,آتش و خون (رمان),43460940,12017,medium
fa,3718478,آئویی یوکی,40395474,29775,medium
fa,6063395,KAT2A,42953475,10697,medium
fa,4367301,Programmable Droplets,41611904,12011,medium
fa,5504318,آبیاری تحت فشار,41477367,29016,medium
fa,9344,آب‌بازسانان,43491365,28164,medium
fa,390506,آتروپین,43497177,11146,medium
fa,3331254,آبشوران (مجموعه‌داستان),41568691,10753,medium
fa,4608065,Nav1.5,43443622,10180,medium
fa,6470109,STK11,42954055,14968,medium
fa,92017,آب‌پخش,41137933,55350,medium
fa,24761,آتش,43544828,23996,medium
fa,62615,آبوویان,41236285,10530,medium
fa,6937201,آتش‌بس ۲۰۲۶ اسرائیل و لبنان,43711722,11696,medium
fa,894146,آتوماتای کوانتومی سلولی نقطه‌ای,35435572,10731,medium
fa,343218,آبجکتیو-سی,38873695,16738,medium
fa,6505813,آبجوی سنت وینسنت,39913593,18069,medium
fa,5844136,PALB2,42953700,14684,medium
fa,3772749,آتش‌بس ۱۱ نوامبر ۱۹۱۸,43570855,10666,medium
fa,5027899,GPVI,42953174,11175,medium
fa,4258812,آتلانتا (مجموعه تلویزیونی),42010466,18384,medium
fa,18389,آبتین,42310351,10055,medium
fa,241420,آتون,43536378,19842,medium
fa,6124381,آتش‌سوزی زندان اوین,43464430,27462,medium
fa,6122210,آئدس,42954253,12679,medium
fa,4534311,آبا (آلبوم),42902602,19693,medium
fa,6738651,آب و هوای آرژانتین,43311222,27190,medium
fa,91344,آب‌مروارید,43054206,24647,medium
fa,4822057,آخرالزمان، جنگ جهانی دوم,39249928,16521,medium
fa,1887643,آئروسپاسیال غزال,41720770,14425,medium
fa,4598955,GLUT1,40896994,11841,medium
fa,2165401,آبشارهای استان ایلام,41625994,10579,medium
fa,6787992,آتلانتا در جنگ داخلی آمریکا,42699328,11701,medium
fa,2052962,آبی گرم‌ترین رنگ است (فیلم),43595336,18864,medium
fa,4422552,NPC1,42953649,11232,medium
fa,914754,آبیاری قطره‌ای,41258768,17927,medium
fa,2533995,آبشار جاذبه,43586306,51648,medium
fa,3364822,آتشفشان (فیلم ۱۹۹۷),43380318,10768,medium
fa,6501778,Personal Storage Table,39859898,12924,medium
fa,6730396,آب‌وهوای کوزوو,42363720,33256,medium
fa,5434555,HKUST-1,39921642,10679,medium
fa,5340993,آثار هنری مرتبط با دیوان حافظ,39552756,190178,medium
fa,6744684,آبجوی دست‌ساز,43373298,32646,medium
fa,4343617,PTK2,42953834,10578,medium
fa,210644,آبشار شاه‌لولاک,40724212,11125,medium
fa,523629,HMAC,41273923,15118,medium
fa,4968363,آبژل,41641572,13346,medium
fa,6221544,آثار و پیامدهای تجاوز جنسی,40554610,49941,medium
fa,1089005,MP3,43728219,12703,medium
fa,6283203,Mad (زبان برنامه نویسی),43527797,11701,medium
fa,5525824,آبرا (خواننده),43724232,14735,medium
fa,231868,آتش تقی‌پور,43321486,22755,medium
fa,6063630,X.com,39809372,14349,medium
fa,6051729,آبماسیکلیب,38777006,10437,medium
fa,6876504,آخرالزمان پطرس,43584219,20832,medium
fa,6510884,آبا-اسک,40011772,11959,medium
fa,1063228,OGG,42729900,13773,medium
fa,5382349,آتش‌سوزی ۲۰۲۰ کالیفرنیا,43308042,13978,medium
fa,6565535,T5 (مدل زبان),43427401,25796,medium
fa,6008440,آتول کا,43372925,11666,medium
fa,6206924,I (ضمیر),41573177,13420,medium
fa,5250801,آثار و جایزه‌های مریلین مونرو,42617064,31504,medium
fa,18813,آباده طشک,43232248,16628,medium
fa,4777578,آجر نسوز,43549443,18906,medium
fa,5105516,SP-A2,40897777,12745,medium
fa,327857,آتاهوآلپا یوپانکی,41090433,11436,medium
fa,6742220,آئوروس سنات,43310926,14151,medium
fa,4761444,TPI1,42954139,10349,medium
fa,6797880,آتش‌بس‌های جنگ داخلی سوریه,43321930,36396,medium
fa,5139987,آتش‌سوزی جنگل‌های استرالیا (۲۰-۲۰۱۹),42314031,28981,medium
fa,6156675,XPB,42954194,10089,medium
fa,4531526,PRDX1,42953799,15005,medium
fa,6729765,آب و هوای ترکیه,43311224,12542,medium
fa,5398407,آتش (ترانه),43144570,10878,medium
fa,5381279,آتیلا آمبروش,39940436,10476,medium
fa,6773848,آبجوی کهنه‌شده در بشکه,43311563,35186,medium
fa,4347888,GRB2,42953241,80926,medium
fa,6832234,آتش‌سوزی جنگل‌های هیرکانی,43209471,19292,medium
fa,4308376,HER2/neu,42953401,14146,medium
fa,6123566,MAPKAPK2,42953546,11196,medium
fa,3386977,آترگاتیس,41361130,14416,medium
fa,6798558,آتیلیو پیکیریلی,42783405,18123,medium
fa,6602239,آبراهام واینتروب,43311727,27321,medium
fa,5069268,آبله میمون,43200063,15807,medium
fa,31430,آتوسا,43524444,54926,medium
fa,3229455,آتنا فرقدانی,42513663,36612,medium
fa,2058722,آنتینوس,42100228,83097,long
fa,631270,آذری‌های ایرانی,43331463,114706,long
fa,6235695,آزار و اذیت مسیحیان در امپراتوری روم,43345708,72782,long
fa,6717,آرکانزاس,43517365,93357,long
fa,6488793,آموزش جنسی در ایالات متحده آمریکا,43478156,197328,long
fa,6161989,احکام اعدام در خیزش ۱۴۰۱ ایران,42418873,56621,long
fa,703991,احمد خاتمی (استاد دانشگاه),43510399,60862,long
fa,1258466,آمار و رکوردهای باشگاه فوتبال پرسپولیس,43524052,263747,long
fa,633099,ازدواج در اسلام,43530095,112492,long
fa,5567010,آموزش زنان در ایران,43117403,93702,long
fa,4944373,آزادی در جهان بر اساس منطقه,36238231,227183,long
fa,6164370,آثار و گفتار عبدالبهاء,43157617,94845,long
fa,4841278,اتاق بازرگانی، صنایع، معادن و کشاورزی تهران,43489361,121225,long
fa,256247,اختلال اضطراب اجتماعی,41626273,63092,long
fa,6797460,آوانتی! (روزنامه),43605040,106004,long
fa,358527,آزار جنسی زندانیان در ایران,43402126,62053,long
fa,2352495,اختلال اضطرابی,43716623,98081,long
fa,179828,آپولو ۸,43509226,99406,long
fa,6944,ابراهیم,43699646,110118,long
fa,4781248,اسماعیل بخشی,43713936,102939,long
fa,55065,استان ایلام,43590612,105610,long
fa,5177697,آمار و رکوردهای جام در جام اروپا,39110994,85714,long
fa,5063446,آگریپینای کوچک,43493791,86582,long
fa,7059,استونی,43537879,59104,long
fa,6096645,آخرین بازمانده از ما قسمت ۱,43271835,141843,long
fa,18117,آلودگی هوا,43446459,50633,long
fa,77341,آتیلا پسیانی,43110601,52673,long
fa,6863516,آسیب ناشی از تشعشع,43716457,52041,long
fa,3277,اسرائیل,43690570,357924,long
fa,141152,آرادان,43511629,54389,long
fa,407844,آلبرت اشپر,42199301,100957,long
fa,3120,اتحادیه اروپا,43497996,93215,long
fa,297543,آماندا باینز,43402290,60268,long
fa,410782,آجر,43487772,63445,long
fa,6832457,ادعاهای سفر در زمان و افسانه‌های شهری,43518671,63914,long
fa,11607,ابوالحسن صبا,43548248,204254,long
fa,49424,احمدشاه درانی,43724051,94392,long
fa,659664,آذر برزین‌مهر,43331267,111947,long
fa,173665,آناتومی گری (مجموعه تلویزیونی),42010274,50987,long
fa,4614103,اساسینز کرید ادیسه,43709524,152007,long
fa,6822026,آداب معاشرت در آسیا,42988198,58831,long
fa,2928,استان فارس,43594294,191164,long
fa,6836,اتیوپی,43313295,93870,long
fa,5384601,آثار منسوب به دوازده امام,40523341,53501,long
fa,249591,اسکای نیوز,43561914,73198,long
fa,5424845,آنارشیسم,43187819,137294,long
fa,1800854,آمار و ارقام تیم ملی فوتبال ایران,43222497,66771,long
fa,19741,آلپ,42806721,62881,long
fa,324281,آریایی,43691343,186624,long
fa,2707,استان قزوین,43711678,106991,long
fa,6738340,آبیاری در تاکستان,42115908,56917,long
fa,3718544,ارغیان (ولایت),43525225,69257,long
fa,38873,آموزش عالی در ایران,43434332,75516,long
fa,1215987,اسپاتیفای,43543588,50348,long
fa,1541067,اخلاق کانتی,43688668,102645,long
fa,8844,احمد قوام,43572557,57495,long
fa,2446510,ادبیات میانه ایران,39448359,68994,long
fa,393239,ابواسحاق کازرونی,43485344,54069,long
fa,4949991,اسماعیل قاآنی,43721405,60406,long
fa,3583026,آمستراد سی‌پی‌سی,43253698,58128,long
fa,69116,ارسباران,43247563,80989,long
fa,5500637,استودیو ژاپن,42936330,59381,long
fa,5572833,اخلاق فناوری,43515429,120740,long
fa,3260,اردن,43523829,76676,long
fa,20831,ابراهیم گلستان,43529084,60534,long
fa,6067649,اثرها و پیامدهای خودرو بر جامعه,43507534,80221,long
fa,304527,آرایش الکترونی عناصر (صفحه اطلاعات),40732295,63259,long
fa,4394,آلمان نازی,43466136,69110,long
fa,6660597,اثرات طولانی مدت الکل بر مغز,42955142,56545,long
fa,6596699,آتش‌سوزی‌های ژانویه ۲۰۲۵ جنگل‌های کالیفرنیای جنوبی,43322513,96540,long
fa,252354,اختراعات دوران طلایی اسلام,43525810,139273,long
fa,34445,ابوحنیفه نعمان بن ثابت,43359276,54714,long
fa,4845267,ادراک حرکت,43335857,53161,long
