lang,page_id,title,latest_rev_id,bytes,stratum
fi,186251,Vladimir Mendelssohn,23548756,2870,short
fi,65670,Vladislav Surkov,23458760,13260,short
fi,824798,Vladimir Antonov-Ovsejenko,22519380,5246,short
fi,1644633,Vladimir Lugovskoi,23065254,1989,short
fi,1681875,Vladimir Kovaljov,20314453,1895,short
fi,1613849,Vladimir Lebedev,23244440,3327,short
fi,1368272,Vladimir Lundeqvist,21870125,3923,short
fi,144374,Vladimir Rušailo,21603620,1205,short
fi,1575903,Vladimir Lindeström,23745977,3903,short
fi,1057823,Vladimir Bogoraz,22506768,5395,short
fi,840281,Vladimir Kuznetsov (keihäänheittäjä),21707034,2145,short
fi,1195268,Vladimír Kameš (nuorempi),15066282,3734,short
fi,751059,Vladimír Kameš,20698569,2677,short
fi,1013000,Vladislav III,23435655,11046,short
fi,1055729,Vladimir Radmanović,21906489,2093,short
fi,1459748,Vladimir Ivković,21346978,1872,short
fi,1012986,Vladislaus II,23795582,12428,short
fi,307320,Vladimir Sobolev,23553874,4125,short
fi,716916,Vladimir Džanibekov,22266532,3401,short
fi,1027667,Vladimir Vukicevic,22266611,2452,short
fi,535281,Vladislav Poljakov,21904817,1088,short
fi,1355143,Vladimir Karelin,22610600,1315,short
fi,1638641,Vlastimil Tusar,23901034,2560,short
fi,1056654,Vladimir Bill-Belotserkovski,22760731,2310,short
fi,1808830,Vladimir Vasiljev (poliitikko),22512503,2447,short
fi,1709937,Vladimir Gantšev,20730689,1879,short
fi,164991,Vladimir Muravjov,21896619,2408,short
fi,210414,Vladimir Mjasištšev,21482417,2019,short
fi,1184035,Vladimir Beara,22907457,1823,short
fi,1183531,Vladimir Ryžkov,23139723,1827,short
fi,1137533,Vladimir Alikin,20636911,3631,short
fi,1865316,Vladislav,23485587,6775,short
fi,336266,Vladimir Syromjatnikov,21912751,1198,short
fi,1352872,Vladimir Krylov,22684779,4714,short
fi,1717583,Vladimir Aleksejev (mitalitaiteilija),23654940,2527,short
fi,1722811,Vladimir Kukk,21753691,4107,short
fi,7985,Vladimir Putin,23701908,99640,short
fi,623498,Vladimír Zábrodský,22415576,2420,short
fi,792105,Vladislav Ardzinba,21499129,1525,short
fi,132517,Vladimir–Suzdal,21755171,2654,short
fi,594506,Vladimir Voltškov,20637040,1757,short
fi,524238,Vladimir Išatšenko,23762686,1631,short
fi,1021145,Vladimir Medinski,23917546,4296,short
fi,826674,Vladimir Sofronitski,22839320,1787,short
fi,1538074,Vladimir Golovin,22519618,2726,short
fi,1647818,Vladimir Fjodorov (kirjailija),21545571,1492,short
fi,134728,Vladimir Luttšenko,21903227,1321,short
fi,1820240,Vladimir Martynov,22641701,1900,short
fi,1210037,Vladimir Janko,22037393,8878,short
fi,1145065,Vladimir Solouhin,23074832,2073,short
fi,1266005,Vladimir Gundartsev,20636943,2234,short
fi,1407227,Vlachérnan luostari,23262210,2788,short
fi,1614431,Vlastimil Petržela,22266681,9023,short
fi,566996,Vladimir Alatortsev,22834691,1093,short
fi,1078063,Vladimir Jengibarjan,21551038,3311,short
fi,1417138,Vladimir Kappel,23744459,4029,short
fi,1336,Vladimir Nabokov,23409546,15188,short
fi,769430,Vladimir Malahov (shakinpelaaja),17656466,1094,short
fi,1622631,Vladimír Bednář,21545382,2527,short
fi,1779887,Vladimir Iljušin,23662911,2139,short
fi,90082,Vladislav IV Vaasa,23852332,16649,short
fi,347733,Vladi Marmo,22163087,8799,short
fi,275901,Vladimir Potanin,23477369,26272,short
fi,950466,Vladimir Jerofejev,22132434,1903,short
fi,985833,Vladimir Komarov (pikaluistelija),20636971,3042,short
