lang,page_id,title,latest_rev_id,bytes,stratum
fr,5682001,Qoshots,234202312,19118,short
fr,7494431,Qosmos,230034777,17638,short
fr,3072031,Quads! de John Callahan,223548459,6881,short
fr,10064470,Qu'il est étrange de s'appeler Federico,235799894,4220,short
fr,14385494,Quai Jules-Guesde,235698869,5165,short
fr,8400480,Quadrant horaire,235698774,56705,short
fr,4159708,"Qu'est-ce pour nous, mon cœur",232017974,15804,short
fr,792023,Qom,231310952,15540,short
fr,10801670,Quadrangle d'Atla Regio,167153728,1453,short
fr,15259154,Quai Joseph Wauters,221639749,2132,short
fr,3120666,Quai Henri-IV,232328575,3497,short
fr,16755562,Qred,225234804,5213,short
fr,10797749,Quadrangle de Snegurochka Planitia,167153309,1491,short
fr,257616,Qrio,209975336,2583,short
fr,3744435,"Qu'as-tu fait à la guerre, papa ?",235698691,3909,short
fr,2808647,"Quadrille d'amour (film, 1946)",234940623,3731,short
fr,10801721,Quadrangle de Godiva,175024314,1600,short
fr,10801700,Quadrangle d'Aino Planitia,167153898,1474,short
fr,9443072,Qu (digramme),227125089,1119,short
fr,8239609,Qu'attends-tu de moi,185520554,1389,short
fr,900613,Quad (marque),233059567,6570,short
fr,262057,Qof,230763492,2096,short
fr,6939976,Qu (poésie),189815841,3288,short
fr,10801668,Quadrangle de Rusalka Planitia,149204181,1383,short
fr,6462096,Qri,231400170,3652,short
fr,1014610,Quadrillion,232479820,1943,short
fr,6979858,Qr1book,211975656,4795,short
fr,11579571,Qu'importe le flocon,227952917,1571,short
fr,10414072,Quadrilobe (revue),216130430,9708,short
fr,8164547,Qu'il est loin l'amour,187380813,3889,short
fr,10801711,Quadrangle d'Helen Planitia,229650142,1863,short
fr,10801724,Quadrangle d'Hurston,231796343,1563,short
fr,11372695,Quadrangles de Io,233937764,1549,short
fr,124352,Quadrivium,224039221,5672,short
fr,5737289,Quadrique projective,230384415,2859,short
fr,145796,Quadruplet premier,235698809,8753,short
fr,12041247,Qmusic (Pays-Bas),231748880,3043,short
fr,11367297,Qu'y a-t-il de changé ?,231980978,3964,short
fr,13184395,Quai Arloing,233591153,8305,short
fr,12937010,Qoud'coeur de la Loge,215392135,4602,short
fr,10801677,Quadrangle de Sif Mons,231801087,1422,short
fr,686940,Quadrature (mathématiques),233135084,8859,short
fr,8451589,Qu'est-ce qu'on attend pour être heureux ! (film),226410222,3101,short
fr,144681,Quadriques rationnelles non bicirculaires,207984913,1464,short
fr,3286279,Qu'Appelle,226615735,2653,short
fr,1024765,Quad Cities,223076990,3331,short
fr,7140448,Qousseir,227725363,5216,short
fr,15117309,Quadricyclane,234299793,14771,short
fr,1508495,"Quadrille (film, 1938)",233479277,5469,short
fr,175823,Quadrature du carré,223283605,6185,short
fr,12295064,Quadriréacteur,218040684,1113,short
fr,4920230,Qstomize,221616324,9167,short
fr,944607,Quadragesimo anno,219879183,3378,short
fr,15138474,Qu'arrivera-t-il après ?,216784412,4890,short
fr,5016749,Quadrangle de Diacria,232018007,5552,short
fr,10809756,Qolobaa Calankeed,209485772,3555,short
fr,6527012,Quad Small Form-factor Pluggable,234295594,6373,short
fr,5478022,Qu'est-ce que la vie ?,228997069,11863,short
fr,11748676,Quad Flat No-leads package,233212360,8682,short
fr,11024038,Quacula,221177559,2843,short
fr,10801654,Quadrangle de Bellona Fossae,167153577,1486,short
fr,8235102,Quadrumane,234478954,6460,short
fr,15605177,Qu'est-ce qu'une médersa ?,235698714,5538,short
fr,3923747,Qu'est-ce que l'homme ?,235698719,10005,short
fr,2778654,QtWebKit,189947022,1579,short
fr,5098205,Quadri-moment,228302057,35808,short
fr,17387389,Qover,235497945,8044,short
fr,3994951,Qu'est-ce que tu vas faire ?,202831265,2082,short
fr,13288189,Quai Léon-Blum,211766806,18040,short
fr,12609931,Quae Ad Nos,220017441,1383,short
fr,16469939,Qu Zimo,225251168,2849,short
fr,6590216,Quai Ceineray,209944719,6651,short
fr,4776014,Quadrangles de Vénus,207805634,20607,short
fr,16294313,Quadrangle de Victoria,223196288,8373,short
fr,4258681,Quadruple croche,224500210,2142,short
fr,14695151,Quadrilatère équidiagonal,232643148,8155,short
fr,10797822,Quadrangle de Meskhent Tessera,167153347,1415,short
fr,10801673,Quadrangle de Devana Chasma,167153918,1477,short
fr,17288024,Quadridimensionnalisme,233900945,24048,short
fr,168538,Quadrophenia (album),235698801,24636,short
fr,10825310,Quai Henri-Barbusse,207644421,3893,short
fr,1374861,Quadruple-double,230125479,12160,short
fr,3145954,Qu'est-ce que la propriété ?,235698723,48819,short
fr,14856428,Quaestiones Mathematicae,221241402,2004,short
fr,4555129,Quai Jean-Moulin (Lyon),235698862,8644,short
fr,1821459,"Quadrille (film, 1997)",235127224,4658,short
fr,12202995,Quai Bonaparte,209530572,4766,short
fr,5592559,Quai Kléber,231351993,11252,short
fr,980707,Quadripoint,228873086,14310,short
fr,10415814,Quai Ferdinand-de-Lesseps,229122499,3922,short
fr,10303375,Quadrans Vetus,210160451,3234,short
fr,13440769,Qu'Appelle-Wolseley (circonscription saskatchewanaise),222791633,7569,short
