lang,page_id,title,latest_rev_id,bytes,stratum
hi,1348468,अंकिता भकत,6502931,21800,short
hi,732295,अंजनेरी,4998045,2850,short
hi,1128824,"अंतरराष्‍ट्रीय पतंग महोत्सव, हैदराबाद",4478317,1085,short
hi,1316758,अंजा गोकेल,6033298,12359,short
hi,1043288,अंतरराष्ट्रीय क्रिकेट 2005,6414062,67485,short
hi,486029,अंडमान एवं निकोबार एड्स नियंत्रण सोसाइटी,4941834,3890,short
hi,222122,अंतरराष्ट्रीय अपराध न्यायालय,6313206,185572,short
hi,1601520,अंजुम रहबर,6515017,2030,short
hi,472685,अंडा भुर्जी,6507905,1371,short
hi,1018895,अंतरराष्ट्रीय क्रिकेट 2006,6414064,155935,short
hi,794115,अंजलि मेनन,6189578,10397,short
hi,560516,अंजू बाला,6302268,1320,short
hi,247908,अंतरिक्ष विज्ञान,6526734,91495,short
hi,1074706,"अंजर, गुजरात",5117466,2334,short
hi,931914,अंजलि मुद्रा,6213157,2168,short
hi,544343,अंजुम चोपड़ा,6260741,9007,short
hi,1018026,अंतरराष्ट्रीय क्रिकेट 2006-07,6414065,129282,short
hi,9705,अ,6464952,12124,short
hi,181699,अंग्रेजी नाटक,5818056,50703,short
hi,740399,अंतरआयामी,6387519,2478,short
hi,1589896,अंडरवियर फेटिशिस्म,6540785,9453,short
hi,1571868,अंगोल गृह युद्ध,6372856,10969,short
hi,880486,अंकीय रक्षी रिले,4964483,2363,short
hi,826036,अंडोरा ओलंपिक विवरण,5818153,7470,short
hi,1535192,अंचलेश्वर मंदिर,6461196,6459,short
hi,248261,अंगूरी,5377343,1518,short
hi,886490,अंतरजाल खनन,6209590,7733,short
hi,43186,अंजना,6483406,1216,short
hi,220813,अंकोल,6092245,6339,short
hi,1396720,अंडमान और निकोबार पुलिस,5634960,14756,short
hi,461979,अ थाउज़ंड सन्स,6464351,14302,short
hi,41489,अँखियों से गोली मारे,5861320,8517,short
hi,549726,अंतरस्लाव भाषा,6519631,11712,short
hi,7568,अंजॉ जिला,6285380,3341,short
hi,300385,"अंजनि, दिलावर पूर मण्डल",4812893,2248,short
hi,970777,अंकुश चौधरी,5206297,3682,short
hi,300381,"अंखोद, कागज्नगर मण्डल",4812833,2173,short
hi,6226,अंगोला,6358466,5268,short
hi,1517866,अंगद प्रताप,6304649,3672,short
hi,1015875,अंतरराष्ट्रीय पोल खेल महासंघ,5629240,11914,short
hi,387249,अंतरजाल नियमावली,6219435,9288,short
hi,979959,अंतरराष्ट्रीय क्रिकेट 2009-10,6214444,129210,short
hi,9392,अंगना,5403462,1180,short
hi,841542,अंजुम फ़क़ीह,5772716,6074,short
hi,909316,अ थाउजेण्ड स्पेलेण्डिड् संस,6476459,7966,short
hi,641242,अंतरण प्रकार्य,6204695,1216,short
hi,746668,अंतर-प्रांतीय टी-20,5421987,31680,short
hi,1228350,अंकोलाली,5621832,2313,short
hi,72998,अंतरराष्ट्रीय मातृभाषा दिवस,6524675,10964,short
hi,913330,अंतराल (गणित),6541790,2171,short
hi,1133827,X८६-६४,6214433,10060,short
hi,60048,अ-ब-स,6232074,11875,short
hi,720648,अंगिरा,6521555,5907,short
hi,248284,अंत:क्षेत्र और बहि:क्षेत्र,6402300,7536,short
hi,744417,अँधेरो रोशन थिये,6387498,2488,short
hi,1536603,अंतर्बाहु शिरा,6249485,6292,short
hi,1537994,अंडजनन,6493285,14553,short
hi,1221368,"अंडा, दुर्ग",4973079,2139,short
hi,1535752,अंगुल्यास्थि,6241706,6476,short
hi,1044624,अंतरराष्ट्रीय क्रिकेट 2004-05,6225613,62913,short
hi,1069086,अंतरिक्ष का सैन्यीकरण,6389704,11154,short
hi,228187,Y पीढ़ी (जनरेशन Y),6258337,68068,short
hi,300376,"अंकुशापूर, आसिफाबाद‌ मण्डल",5777927,2203,short
hi,50503,अंग तंत्र,5818018,42010,short
hi,801557,अंकीय क्रांति,4522275,1497,short
hi,1341729,अंतरराष्ट्रीय क्रिकेट के प्रारूप में अपनी पहली गेंद से विकेट लेने वाले गेंदबाजों की सूची,5432773,8651,short
hi,5763,अंटार्कटिका,6481269,45490,short
hi,179141,अंतरतारकीय माध्यम,5818169,4708,short
hi,435197,अंगज (अलंकार),5377314,5678,short
hi,1520333,अंजलि जठर,6515014,5494,short
hi,709468,अंगदेश,6527981,6252,short
hi,835657,अंगद बेदी,5777930,3707,short
hi,34851,अंडर-१९ क्रिकेट विश्व कप,6414562,112838,short
hi,1446320,अंकिता भंडारी हत्याकांड,6484793,13421,short
hi,555293,अंजना मिश्रा बलात्कार मामला,6330008,7732,short
hi,1075059,अंतरराष्ट्रीय क्रिकेट 1997-98,5818175,83971,short
hi,859106,अंतरराष्ट्रीय भूगणित एवं भूभौतिकी संघ,6476151,3316,short
hi,747371,अंगद यादव,5508731,2238,short
hi,102293,अंतरराष्ट्रीय जल सर्वेक्षण संगठन,5786410,7878,short
hi,1463986,अंगारकी संकष्टी चतुर्थी,6474942,5137,short
hi,192528,अंकन,6544979,2870,short
hi,160729,"अंटी गाँव, कन्नौज (कन्नौज)",6314490,2040,short
hi,167749,अंतःस्रावी ग्रंथि,6331974,3568,short
hi,973421,अंतरराष्ट्रीय क्रिकेट 2011,6214446,104157,short
hi,541879,अंत:दंत्य उपचार,4522479,3254,short
hi,977964,अंतरराष्ट्रीय क्रिकेट 2010,6540788,109441,short
hi,904047,अंजली जय,6540252,7120,short
hi,476545,अंतरिक्ष अन्वेषण,5933934,6530,short
hi,1252128,अंकित लांबा,5149672,1450,short
hi,1319800,अंतरराष्ट्रीय हकलाहट जागरूकता दिवस,5351290,2802,short
hi,384091,अंतरतारकीय बादल,5818168,3361,short
hi,480685,Y,6544977,2309,short
hi,193069,अंकल बोनमी हू कैन रिकॉल हिज़ पास्ट लाइव्स,6465260,9130,short
hi,1072427,अंतरराष्ट्रीय क्रिकेट 1999-2000,6225603,71314,short
hi,398774,अंकुरी,5747721,2566,short
hi,899144,अंजू बाला (राजनीतिज्ञ),5818146,5223,short
hi,398179,अंचरांड हनुमान नगर,4812885,1820,short
hi,26351,अंकियानाट,5438130,1483,short
hi,267067,"अंगडियागाडा, बेरीनाग तहसील",6387512,3536,short
hi,1205270,अंतरिक्ष गतिविधि विधेयक,6445800,11123,short
hi,261878,अनंतमूल,6351593,67300,medium
hi,627352,अंतर्राष्ट्रीय संख्या पद्धति,6028027,12565,medium
hi,96562,अतिसार,5997950,10843,medium
hi,54621,अजातशत्रु (मगध का राजा),6435210,13602,medium
hi,213206,अग्नाशयशोथ,6545944,55100,medium
hi,43681,अई सुगीयामा,6154284,13286,medium
hi,53350,अधिकतम शक्ति अन्तरण प्रमेय,5827150,12918,medium
hi,221781,अंबुमणि रामदॉस,6189582,13225,medium
hi,737245,अण्टीगुआ और बारबुडा का राजतंत्र,6163263,15359,medium
hi,1602995,अकाशी कैक्यो पुल,6482058,11243,medium
hi,181066,अखिल भारतीय ग्राहक पंचायत,6425212,18202,medium
hi,1600731,अग्नि-प्रक्षेपक,6466482,18554,medium
hi,2991,अण्डमान,6036291,11291,medium
hi,1110686,अगम कुआँ,6144195,10380,medium
hi,220240,अगस्त रश (फिल्म),6303238,36800,medium
hi,11323,अक्षपाद गौतम,6498471,23644,medium
hi,1045825,अंतरराष्ट्रीय क्रिकेट 2003-04,6225611,79174,medium
hi,5763,अंटार्कटिका,6481269,45490,medium
hi,552993,अजिंक्य रहाणे,6534301,19206,medium
hi,537881,अजब प्रेम की ग़ज़ब कहानी,5826879,12246,medium
hi,1161805,अखिल भारतीय प्राकृतिक चिकित्सा परिषद,6539609,11389,medium
hi,1003598,अनानास बन,6383190,12368,medium
hi,190608,अकादमी,6324600,11258,medium
hi,222122,अंतरराष्ट्रीय अपराध न्यायालय,6313206,185572,medium
hi,806446,अण्णा सालुंके,5957327,15872,medium
hi,1223449,अनंतराम जायसवाल,6489966,12226,medium
hi,914620,अंतरराष्ट्रीय क्रिकेट 2014-15,6189347,141374,medium
hi,40483,अक्साई चिन,5597703,15024,medium
hi,1378671,अग्निपथ योजना,6475175,22046,medium
hi,1321414,"अंकीय सुरक्षा अधिनियम, 2018",6466804,16399,medium
hi,220773,अनग्रदंत,5836967,30002,medium
hi,597695,अतापुएरिका पहाड़ियाँ,6304520,18142,medium
hi,60021,अन-नज्म,6129995,15670,medium
hi,1141812,"अखिल भारतीय आयुर्विज्ञान संस्थान, भुवनेश्वर",6464083,13304,medium
hi,1466194,अटल ब्रिज,6456658,10832,medium
hi,43932,अजमान अमीरात,6526521,17936,medium
hi,981673,अंतरराष्ट्रीय क्रिकेट 2009,6189311,138566,medium
hi,51818,अंतःस्रावी तंत्र,6474239,20636,medium
hi,1811,अइज़ोल,6502367,30674,medium
hi,186929,अंग्रेजी विधि,5818096,13063,medium
hi,1205270,अंतरिक्ष गतिविधि विधेयक,6445800,11123,medium
hi,803996,अनन्त कान्हेरे,6550105,10643,medium
hi,790828,अतिशा प्रताप सिंह,5827059,11571,medium
hi,1424675,अननुवाद्यता,5845967,82795,medium
hi,193725,अंतर्राष्ट्रीय व्यापार,6545943,73073,medium
hi,37891,अंजान श्रीवास्तव,6469709,13984,medium
hi,1356162,अक्षय रमणलाल देसाई,6462992,153943,medium
hi,503972,अंतर्राष्ट्रीय कृष्णभावनामृत संघ,6313181,10835,medium
hi,1599830,अध्ययन कौशल,6466322,18079,medium
hi,1537994,अंडजनन,6493285,14553,medium
hi,654559,अद्वैतवाद,6414390,27579,medium
hi,1057905,अंतरराष्ट्रीय क्रिकेट 2001,6225606,26489,medium
hi,971584,अंतरराष्ट्रीय क्रिकेट 2011-12,6434575,148038,medium
hi,60032,अत-तग़ाबुन,5827030,14804,medium
hi,938896,अजमेर-मेरवाड़ा,6493874,16588,medium
hi,181574,अणुव्रत,5827008,14836,medium
hi,615131,अंशुबोधिनी,5818296,13979,medium
hi,60011,अज़-ज़ुख़रुफ़,6120263,40550,medium
hi,811282,अदा खान,6414106,30996,medium
hi,691122,अधिकतम खुदरा मूल्य (एमआरपी),6483758,26742,medium
hi,59983,अन-नह्ल,5845961,61351,medium
hi,31177,अदिति,6470908,21413,medium
hi,1579931,अंजुमन-ए-तरक़्क़ी-ए-उर्दू,6414048,13013,medium
hi,1144763,अज्जामद बोपय्या देवय्या,6354291,19986,medium
hi,221798,अघोर पंथ,6382628,30513,medium
hi,1509515,अंबरनाथ यूनाइटेड अटलांटा एफसी,6070953,17491,medium
hi,476035,अत्यंतनूतन युग,6260728,27697,medium
hi,936989,अखिल भारतीय किसान सभा,6507432,12070,medium
hi,555756,अक्षय कुमार की फ़िल्में,6502934,116319,medium
hi,14805,अंतर्राष्ट्रीय क्रिकेट परिषद,6473829,69765,medium
hi,1609075,अत्तरीन मस्जिद,6538516,13898,medium
hi,1444834,अतीक अहमद,6540395,15124,medium
hi,1192056,अन-नाज़िआत,6232205,11897,medium
hi,1609490,अनाह,6528996,11439,medium
hi,1083660,अंतरराष्ट्रीय क्रिकेट 2019-20,6475058,227056,medium
hi,220702,अकेलापन,6524144,44549,medium
hi,19403,अंकारा,6516536,19634,medium
hi,59970,अन-निसा,6219475,120208,medium
hi,492162,अनावृतबीजी,6453183,71260,medium
hi,1607624,अंग्रेज़ीकरण,6520333,15543,medium
hi,7407,अजमेर जिला,6509503,17089,medium
hi,162861,अग्न्याशय,5633459,24974,medium
hi,531560,अतुल्य भारत,6523969,34090,medium
hi,1393829,अतुल परचुरे,6279855,12414,medium
