lang,page_id,title,latest_rev_id,bytes,stratum
hu,251002,Vukovics Sebő,27750232,6833,short
hu,811714,Vuk (regény),28243247,9574,short
hu,335358,Vu Po-hsziung,25524820,4523,short
hu,1726163,Vrčevo vára,25226322,5160,short
hu,1594114,Vutkovich Sándor (jogtudós),23891311,2946,short
hu,996539,Vujnovići,28423246,2924,short
hu,227350,Vulkánkitörési index,28143644,7040,short
hu,1292453,Vuillafans,18892006,1610,short
hu,954184,Vuketić,28329204,2557,short
hu,1139380,Vrtojba,27635858,2889,short
hu,1500987,Vrh Letovanićki,28329151,4566,short
hu,940823,Vszevolod Petrovics Kascsenko,27619625,3829,short
hu,1314070,Vry,18929286,1611,short
hu,728501,Vusi Mahlasela,23980904,2824,short
hu,1730002,Vrgorsko gorje,23140776,9248,short
hu,739473,Vukovoj,28763201,4497,short
hu,1569287,Vulkanikus tél,26981013,13333,short
hu,1137979,Vrtovin,27493047,2101,short
hu,1904569,Vrbas ’92 hadművelet,28802785,31268,short
hu,1654760,Vrbovljani,28329138,6504,short
hu,1553547,Vu Cö-tien kínai császárnő,28236872,43950,short
hu,730099,Vrtlinovec,28754275,3311,short
hu,1593782,Vuk Drašković,26127180,1094,short
hu,1622409,Vuko Borozan,28727408,7499,short
hu,1310751,Vron,27032856,1606,short
hu,1087339,Vranići kod Višnjana,28624950,3081,short
hu,485959,Vukán György,28282716,13336,short
hu,1669424,Vranovce,28329108,8931,short
hu,2050852,Vršani (Bijeljina),28545134,8573,short
hu,1624624,Vulcan changeup,28329222,4743,short
hu,1310750,Vraignes-lès-Hornoy,27032855,1620,short
hu,82183,Vusu (harcművészet),28329230,13456,short
hu,809362,Vukanci,25943113,1718,short
hu,1459712,Vramecz Antal,26799597,7635,short
hu,1262730,Vrbno nad Lesy,25626188,1757,short
hu,1992519,Vražić,28544976,4830,short
hu,1890259,Vrsari repülőtéri bombázás,25607559,16370,short
hu,995841,Vukelići (Vrbovsko),28423248,3011,short
hu,992723,Vrahovice,25415048,2620,short
hu,289358,Vulcano (sziget),27102933,40259,short
hu,772248,Vujići Vojakovački,25942859,1550,short
hu,926351,Vratnik Samoborski,28329119,2606,short
hu,1015041,Vultur (település),28349816,1592,short
hu,1262718,Vrbatův Kostelec,24390056,2016,short
hu,50525,Vrhnika,28402560,3104,short
hu,1103338,Vuchetich Mátyás,28869317,3414,short
hu,1310749,Vraignes-en-Vermandois,27032854,1622,short
hu,159935,Vs.,25420695,3858,short
hu,1301228,Vulbens,18925128,1614,short
hu,1088756,Vrh Lašići,28634710,3083,short
hu,94998,Vukašin Poleksić,27551572,9196,short
hu,1047806,Vultureni (Bákó megye),26042354,2631,short
hu,1250807,Vulaines,18193891,1613,short
hu,1262735,Vrchlabí,25626191,2610,short
hu,953958,Vrhovac,28329156,3552,short
hu,366059,Vuelta a Asturias,26422535,1799,short
hu,2029359,Vucsou,28099239,1221,short
hu,1262757,Vršovice (Opavai járás),24437857,1970,short
hu,1262734,Vrbčany,19010222,1908,short
hu,2027296,Vuhu,28093075,1204,short
hu,1138500,Vrhpolje (Vipava),28329161,3243,short
hu,1912757,Vujadin Sztanojkovics,26388161,10309,short
hu,348166,Vuelta ciclista a España,28390489,17496,short
hu,2046215,Vujičići,28546078,4582,short
hu,1113192,Vrindávan,24603351,3252,short
hu,1759154,Vranik vára,24284399,3778,short
hu,1066402,Vrećari,28613503,2983,short
hu,1262747,Vrábče,19006615,1936,short
hu,1475345,Vrginmost,28329144,9670,short
hu,1262715,Vraňany,19010405,1912,short
hu,1221564,Vrgada (Pakoštane),28329143,9734,short
hu,1975601,Vrhpolje (Sanski Most),28545886,10344,short
hu,1301225,Vraincourt,17700423,1616,short
hu,1262752,Vráž (Píseki járás),25626182,1721,short
hu,1249099,Vrigne-aux-Bois,18887305,1636,short
hu,1566602,Vreid,24833685,2317,short
hu,1004242,Vrhovci (Čabar),28392667,3013,short
hu,1262754,Vrčeň,19013172,1917,short
hu,27467,Vukovár,28647227,70239,short
hu,1555245,Vrbica (Veliko Trojstvo),28329128,5285,short
hu,1598857,Vuno,26675501,4870,short
hu,1409737,Vutö,28454457,2925,short
hu,854142,Vulgar Display of Power,28794938,5522,short
hu,1262698,Vranov (Benešovi járás),24414623,1974,short
hu,4522,Vuze,28205188,4473,short
hu,1888087,Vulhovcsik,25565497,3294,short
hu,1262733,Vrbátky,19012461,1916,short
hu,1155728,Vu-ce (könyv),24665036,12045,short
hu,1579820,Vrbovac (Daruvár),28329136,5222,short
hu,1183020,Vube Atnaf Szeged,20655919,6882,short
hu,1693882,Vreloto-barlang,23680346,1183,short
hu,245952,Vulgata,28680316,3536,short
hu,1676871,Vučevci,23826412,5772,short
hu,621553,Vrábel Ibolya,25686173,5072,short
hu,1023197,Vukovich Gabriella,28329211,13929,short
hu,1300684,Vraiville,18892746,1605,short
hu,900993,Vukšin Šipak,20496550,2770,short
hu,854086,Vukovári csata,28918842,146379,short
hu,241086,Vratislav Lokvenc,28628753,7460,short
hu,1262697,Vracovice (Znojmói járás),24424934,1974,short
hu,292441,Copa Libertadores,28576158,33113,medium
hu,700545,Clarias,28590077,14506,medium
hu,2018592,Claude (nyelvi modell),28941307,48439,medium
hu,78271,Claudius római császár,27091188,21797,medium
hu,1615584,Coors Field,28797824,30219,medium
hu,251437,Courtney Love,28676687,24819,medium
hu,1007767,Connie Hedegaard,26637623,10687,medium
hu,1938158,Comédie-Française,28722793,24527,medium
hu,1904124,Commodore PET,28799555,16723,medium
hu,980989,Contenta,27388216,17135,medium
hu,1907927,Clam-Gallas-palota (Prága),27585900,12620,medium
hu,1969461,Columbusi csata (1916),28695474,20316,medium
hu,537760,Coop (magyar üzletlánc),28462948,10921,medium
hu,110293,Cottbus,27889436,11013,medium
hu,266553,Cosovan Attila,28717963,16680,medium
hu,323875,Coelophysis,26539160,20093,medium
hu,1968887,Constanze Weber,28157389,12652,medium
hu,2586,Columbo,28904306,101712,medium
hu,235896,Claude Makélélé,28560795,10249,medium
hu,2018974,Corvinus Nemzetközi Befektetési Zrt.,28321376,13075,medium
hu,1374064,Copa Libertadores Femenina,27546166,31269,medium
hu,1540301,Clifton Webb,26218715,15214,medium
hu,1851474,Cook Partisan Voting Index,27793206,39893,medium
hu,236146,Colin Firth,28677754,19189,medium
hu,278265,Cowboy Style,28682247,15371,medium
hu,1641947,Cori Gauff,28882811,36474,medium
hu,997151,Colima (állam),25168065,27097,medium
hu,77812,Conwyi vár,28700380,35926,medium
hu,59872,Corvin-koszorú,28832540,18377,medium
hu,204011,Cornwall,28671824,46941,medium
hu,1424448,Colorado kongresszusi delegációinak listája,27963097,39191,medium
hu,1623099,Comedy Cluj,27948683,13719,medium
hu,2047908,Claire Corlett,28590059,10073,medium
hu,705540,Cornwalliak,28596529,14439,medium
hu,23167,Comore-szigetek,28737546,22924,medium
hu,1027756,Club Puebla,27225322,17935,medium
hu,365972,Command & Conquer 3: Kane’s Wrath,28213130,11532,medium
hu,288499,Command & Conquer 3: Tiberium Wars,28131660,40230,medium
