lang,page_id,title,latest_rev_id,bytes,stratum
id,4428732,Funny Pages,28714387,8533,short
id,3378150,"Funabashi, Chiba",29190318,13980,short
id,4321100,Fuck You (lagu),27963422,17568,short
id,4254921,Funhouse (album),25441171,28159,short
id,1582880,Fuji T-1,28588662,1296,short
id,1873311,Fuma Kikuchi,28418539,8754,short
id,953664,Fun (grup musik),25347345,6711,short
id,1484052,Furfural,28008230,3653,short
id,4645533,Fugazza,28550678,4056,short
id,2986218,Fugly (film),26625821,3008,short
id,1401894,Fumeripits,28612823,5348,short
id,2500030,Fuero,23906493,3714,short
id,2086716,Ful medames,27000947,4174,short
id,3271255,Fungsi indikator,28448211,16560,short
id,3133614,Fuka Koshiba,24245475,3867,short
id,306668,Furan,28588672,6082,short
id,3386641,Fungsi bilangan bulat terbesar dan terkecil,26742995,10892,short
id,195340,Fuji TV,29076110,22181,short
id,4376172,Ftalilsulfatiazol,28476607,6811,short
id,3175525,Fungtor,28752871,23525,short
id,4715911,Fuji Kiseki,29186641,10494,short
id,255141,Fung Permadi,26941519,3988,short
id,2411074,Fu Manchu,28693405,4228,short
id,4695355,Ftalat,29016712,62063,short
id,3932403,Funiculaire de Montmartre,23907770,2538,short
id,3684644,Fulham LFC,28607284,3152,short
id,3761827,Fujii Kaze,26753784,3411,short
id,3357357,"Funahashi, Toyama",28556498,3491,short
id,1055906,Furdjel Narsingh,24600427,2090,short
id,66698,Fulda,28556492,2016,short
id,2763048,Fukakaina Boku no Subete wo,23907019,2347,short
id,44141,Fulgencio Batista,28722501,10514,short
id,1424069,Fujiwara no Junshi,23906835,2220,short
id,3195981,Fungsi Fox–Wright,23907483,3572,short
id,387586,Fujoshi Rumi,23906995,3566,short
id,203110,Fumiko Kaneko,28418547,4404,short
id,2529956,Fumihiko Maki,25818518,3034,short
id,3695352,Fungsi integral logaritmik,28008203,4258,short
id,3081159,Funny Games (film 2007),28390439,5951,short
id,16114,Fujian,28556466,11800,short
id,4663895,Furcula (ngengat),28945235,1362,short
id,3020329,Fumi Nikaidō,29061724,16821,short
id,3160017,Fungsi Green,28427939,27373,short
id,3330555,Fungsi pineta,29187979,2567,short
id,4401931,Fulakora,28114531,3142,short
id,3139785,Fuad I dari Mesir,28008069,5390,short
id,1874483,Full Moon (album mini),28578234,8622,short
id,2796351,Fulbert dari Chartres,28738925,6562,short
id,173209,Fullmetal Alchemist,28467719,20388,short
id,4260757,Fukomys,29088330,2327,short
id,949609,Fuqing,28598677,7881,short
id,2712383,Fumiya Oishi,28695962,1147,short
id,218282,Fuad Zulkarnain,29047189,4851,short
id,351240,Fulerena,24102229,8315,short
id,3630576,Fungsi monoton,27233098,5667,short
id,3145763,Fungsi tanjakan,27858270,2456,short
id,3840639,Full River Red,28415974,14769,short
id,3198200,"Fukaura, Aomori",28556480,8857,short
id,624216,Fungsi linear (kalkulus),29150343,9172,short
id,2357195,Fun Size,27708774,19799,short
id,56369,Funny van Dannen,29149893,3665,short
id,2500517,Full Moon (album mini EXID),28578232,3309,short
id,126734,Full Metal Jacket,28598673,85692,short
id,1591157,Fufu,28476610,4032,short
id,3411767,Fud Syaifuddin,26627534,4709,short
id,3103221,Fungsi hipergeometris,28008201,12572,short
id,4696028,Funko Fusion,29106555,19635,short
id,128107,Fukubukuro,23907075,5711,short
id,1557695,Fugue,28752856,2434,short
id,3375155,Fu Chi Fong,27796033,3741,short
id,159649,Fungsional Auditor,27333162,4737,short
id,1036478,Fuini,28008097,4996,short
id,3857612,Fu Lei (pemeran),23906315,3413,short
id,45686,Funchal,28008189,7002,short
id,122604,"Fukui, Fukui",29074427,4152,short
id,4229644,Ftalat anhidrida,25257775,4246,short
id,4169823,"Fudai, Iwate",28556461,7417,short
id,799646,Funky Kopral,29022242,19942,short
id,18933,Fukuoka,29074470,10324,short
id,2516483,Fujimorisme,26650443,6297,short
id,1499919,Funayūrei,28445815,7007,short
id,4271437,Furculattus,27446620,1281,short
id,1773060,Full Throttle Girl,9520751,3448,short
id,2087230,Fuad Alkhar,29190308,5061,short
id,2939654,Fulton J. Sheen,29134238,4245,short
id,899836,Furimukeba Ai,22093201,2133,short
id,561506,Furia (film),22093199,1501,short
id,3852434,Funhouse (film 2019),27455919,1515,short
id,4716890,Fujisan Hongū Sengen Taisha,29206966,16380,short
id,393846,Fungsi implisit,28008202,1970,short
id,1869315,Fun 2shh: Dudes in the 10th Century,28008181,1408,short
id,4270461,Fuego ardiente,28445798,9129,short
id,4348187,Fufufafa,28751434,42704,short
id,1582858,Fuji/Rockwell Commander 700,28675469,1751,short
id,1424068,Fujiwara no Koshi,23906964,1972,short
id,3697878,Fungsi hiperbolik invers,27515890,16327,short
id,218932,Full House (seri televisi Korea Selatan),25002876,5946,short
id,3151345,Fungsi penawaran,28293920,6341,short
id,3126908,Fullmetal Alchemist: Brotherhood,28523855,6248,short
id,1399977,Fungsi hampir berkala,28008200,3648,short
id,2626699,Naagin (seri televisi 2015),29132232,76036,medium
id,882136,Nabilah Ayu,27830269,17931,medium
id,4472,Myanmar,29027359,74796,medium
id,1168168,Nama tengah,23047857,12838,medium
