lang,page_id,title,latest_rev_id,bytes,stratum
it,3898954,Yūnagi Loop,147694106,2046,short
it,7786722,Yéiler Góez,144334729,2133,short
it,3016640,Yūji Hironaga,148125186,3424,short
it,6565474,Yūji Naka,146212342,5114,short
it,2065646,Yōko Matsuoka,145124831,1432,short
it,145570,Yésero,145394355,1196,short
it,2856983,Yōsuke Kashiwagi,147396019,6169,short
it,1993606,Yūki Ōta,146318246,2240,short
it,169917,Yèvres-le-Petit,137224867,1690,short
it,9500957,Yūto Suzuki,149454976,1531,short
it,3123181,Yūtarō Abe,144043479,1622,short
it,7550881,Yōta Akimoto,139798604,1741,short
it,9346591,Yūko Mita,147761479,3285,short
it,9496239,Yōko Kamikawa,149645400,6718,short
it,1894487,Yōko Maki (fumettista),147860341,1641,short
it,6908586,Yūto Totsuka,149991582,5951,short
it,7665723,Yūto Iwasaki,149426801,8679,short
it,2782623,Yōko Asagami,148915059,1522,short
it,5182807,Yū Aoi,149964234,5563,short
it,8253460,Yūki Sōma,148641813,13222,short
it,2705160,Yūzō Tashiro,147390566,4839,short
it,3554023,Yūsuke Tanaka (calciatore 3 febbraio 1986),141003113,1431,short
it,2498328,Yūichi Komano,147389951,15065,short
it,2905295,Yōkan,139397774,2917,short
it,1543576,Yōji Enokido,144572469,1325,short
it,6687094,Yōji Takikawa,145026919,2653,short
it,2244448,Yōjirō Takita,147818196,7156,short
it,2863602,Yōko Shimada,145414889,6826,short
it,3066694,Yūko Sano,149232496,8014,short
it,3918769,Yōzō Aoki,147342632,2170,short
it,3445037,Yūko Mizutani,146866315,4358,short
it,10287599,Yüsra Geyik,146031584,13884,short
it,4079194,Yūsuke Ōmi,148274774,3833,short
it,6148626,Yılmaz Vural,137460160,3222,short
it,186475,Yébleron,143091670,1317,short
it,5779927,Yūichi Maruyama,148662736,4853,short
it,3118645,Yūzō Kurihara,147390373,5537,short
it,2813423,Yūko Fueki,148040890,3783,short
it,5559229,Yūsuke Suzuki,141877574,7745,short
it,1908409,Yōhei Toyoda,146971443,12498,short
it,2894513,Yūichirō Nagai,147389638,6073,short
it,8616533,Yūta Someya,149435366,1283,short
