lang,page_id,title,latest_rev_id,bytes,stratum
ja,2521205,Discovery (東京事変の映像作品),97081786,16516,short
ja,4605263,Do As Infinity 13th Anniversary -Dive At It Limited Live 2012-,108221359,5028,short
ja,2266287,DirectCompute,101123669,13061,short
ja,3223399,Does It Escape Again,102961669,5004,short
ja,2122184,DoCoMo MUSIC 4U,60957293,4483,short
ja,4155008,Digital Distortion,87992378,3903,short
ja,952738,Digital Picture Exchange,93231398,1507,short
ja,3439959,Distance (古内東子の曲),87800474,1600,short
ja,964536,DiffServ,97586022,8832,short
ja,4008193,"Doa Best Selection ""BALLAD COAST""",88438798,4387,short
ja,3839130,DiDiモビリティジャパン,108228923,16679,short
ja,2859413,Diorama,109384004,10238,short
ja,1279879,Diverge,109262777,3107,short
ja,818852,"Do The Best ""Great Supporters Selection""",106158206,5775,short
ja,965545,Do 212 (航空機),93229781,1392,short
ja,2734946,Digital Audio Control Protocol,106296333,8770,short
ja,1137977,Documentary (竹井詩織里のアルバム),105111810,2173,short
ja,1776315,Difang,98639120,4833,short
ja,2296302,DirectFB,108798507,8416,short
ja,3608857,Digital Photography Review,89561500,7904,short
ja,2633625,Dishonored,108418749,128421,short
ja,4302403,Disney in Pocket,106844791,1883,short
ja,1723120,Doing all right,107356122,6762,short
ja,2636484,Digital Game Card,57126216,1670,short
ja,4602068,"Do As Infinity ""ETERNAL FLAME""〜10th Anniversary〜in Nippon Budokan",108221719,5462,short
ja,2748215,Display Manager,90058435,4256,short
ja,5082943,DoPDF,104774173,7817,short
ja,2902300,Dino D-Day,107975440,9423,short
ja,945141,Diary (竹井詩織里のアルバム),81923271,4098,short
ja,207114,Doctor of Philosophy,108915943,11277,short
ja,4700887,Diamonds (BUGVELの曲),97081626,3668,short
ja,1861901,Document Composition Facility,109406406,1940,short
ja,2259478,Doki,107667883,5855,short
ja,3843759,DiRTY GiFT,106410629,4037,short
ja,4590729,Do As Infinity LIVE YEAR 2004,90005504,4363,short
ja,4960252,Digital DawgPound,108983111,14758,short
ja,1378842,DivX,108710227,19507,short
ja,1795168,Do!シロート,59493886,2445,short
ja,2085021,Do Shock Booze,109421075,2015,short
ja,4042453,Dired,103814001,3904,short
ja,3336432,Dig (UNIX),108980317,3580,short
ja,1198740,Do The Box,89476519,2735,short
ja,3535080,District Zero,105554736,7123,short
ja,4322113,Dodo (ラッパー),105342280,24517,short
ja,3535454,Die for you/Dearly/Believe Myself,105554690,7733,short
ja,4795580,Digi 24,108376355,1539,short
ja,3052208,Dnd (PLATO),108763925,6305,short
ja,4256527,Do8,105110864,11124,short
ja,3801273,DiVE to GiG - K - AiM,97081610,2079,short
ja,2542196,Digital storytelling,106217416,4595,short
ja,710396,Digital Performer,98149965,9295,short
ja,4803430,Dios (音楽グループ),106837748,25636,short
ja,3727840,Doge (ミーム),107488570,29835,short
ja,1804444,Dmesg,105961523,3476,short
ja,1877195,Dma2.0,81000982,2183,short
ja,3478163,DoKomi,106685271,7105,short
ja,513415,Diamonds (プリンセス プリンセスの曲),108459074,17024,short
ja,2308556,DiVA,107897115,15593,short
ja,120272,Distributed Sender Blackhole List,93345298,1624,short
ja,1597612,Do 214 (航空機),108897884,3093,short
ja,4560414,Do ファッション,107503701,2161,short
ja,2045993,Disarm dreamer,106545354,3194,short
ja,5101008,Dlshogi,108578900,13562,short
ja,2893901,Dokanto!,108083114,7160,short
ja,2379091,Diary (Winkのアルバム),104804615,4662,short
ja,1497703,Discommunication e.p.,90385487,3297,short
ja,2180401,Direct Stream Transfer,108831669,8626,short
ja,4269580,Digital Double,108282662,9467,short
ja,4593942,Do The Clips,108222056,9660,short
ja,3562207,DirectX Video Acceleration,104838977,12857,short
ja,3522176,Dj motoi,104857750,2158,short
ja,668291,Do 17 (航空機),108559279,11499,short
ja,1964578,Do-can diary,101733506,4312,short
ja,1214478,Discord (ラジオ番組),63496553,2448,short
ja,1785386,Docomo SMART series,97081981,5690,short
ja,1799252,DirectShow,106570638,22193,short
ja,2799563,Dimension Point,103158517,9136,short
ja,1897626,Dj yogurt,106752761,23244,short
ja,4574342,Dignified,97081701,12223,short
ja,3082172,DiGiket.com,101237936,4103,short
ja,3880387,DigiByte,97081670,11888,short
ja,816113,Do The A-side,109171204,6147,short
ja,1634814,Discovery (宮野真守の曲),101235906,3776,short
ja,1226015,Dinner's Ready,102402267,8946,short
ja,1488791,Diamond Sparkle,107597066,3447,short
ja,1867119,Die Nacht vor der Premiere,83018535,3415,short
ja,4262422,Direct simulation Monte Carlo法,108137350,11530,short
ja,770188,Dlife (CS放送),108506848,14549,short
ja,4325161,Do The Complete,105217472,11666,short
ja,4337522,Do It Yourself!! -どぅー・いっと・ゆあせるふ-,108611121,64228,short
ja,4064209,Dinosaur! (1985年のドキュメンタリー映画),105544387,4108,short
ja,825188,Do 18 (航空機),108559277,4766,short
ja,4748237,Dive in Your Faith,108925093,4764,short
ja,938452,Distributed Component Object Model,107910468,4005,short
ja,2788117,Dizzy core,102207607,2547,short
ja,1817627,Dm-ドロゲリエ・マルクト,99569229,2351,short
ja,3489031,Different View,89797835,5803,short
ja,4200444,Diep.io,109103060,9325,short
ja,3371809,Dizzy Sunfist,109163930,68705,short
ja,4564601,Dishevelled,101165885,12623,short
ja,4474861,Kson,109335044,17916,medium
ja,3018742,L-函数,106010145,13818,medium
ja,3473631,Kリーグアシスト王,102274461,15034,medium
ja,2359279,LE-8,104635536,14282,medium
ja,2387038,Kリーグ八百長事件,104944562,16622,medium
ja,4472422,Kep1er,109331770,44921,medium
ja,1736684,Kバレエカンパニー,108763549,11765,medium
ja,654417,KinKi Single Selection II,109171275,11083,medium
ja,4398891,King & Prince CONCERT TOUR 2021 〜Re:Sense〜,105821325,11554,medium
ja,5029625,LAPOSTA 2025 Supported by docomo,108708357,36005,medium
ja,5081831,KickassTorrents,104795757,24770,medium
ja,266970,L/Cカー,109258389,20474,medium
ja,4896749,Kimikara（きみから）,107133427,10584,medium
ja,5043646,KiiiKiii,109176777,18678,medium
ja,4617783,Kong,105741750,10783,medium
ja,820992,LATAM ブラジル,109330994,34431,medium
ja,3342830,Kリーグクラシック 2016,100958327,36913,medium
ja,4331585,LADYBUG (アルバム),108615294,15813,medium
ja,3730427,King Gnu,109398935,123203,medium
ja,1780919,L-06A,79391905,10472,medium
ja,2357880,Keep On Smiling,108704983,10197,medium
ja,2034906,LEVIN,106159333,12852,medium
ja,1305818,Kiss×sis,109390323,41767,medium
ja,2329523,LGBTとヘルスケア,101037330,30195,medium
ja,4196333,Kepler object of interest,102911821,17354,medium
ja,4960778,KiLLa,106629973,13953,medium
ja,5106708,Koshi Inaba LIVE 2024 〜en-Zepp〜,108116841,10351,medium
ja,3564483,Kunlun Fight,104862738,19065,medium
ja,5046037,KickFlip,109409841,24698,medium
ja,141960,Kマート,104218917,16658,medium
ja,1155634,LA・LA・LA LOVE SONG,108843480,10562,medium
ja,3432383,LAMUNATION!,103340849,10417,medium
ja,2513023,LARES,102661952,10833,medium
ja,1861374,Krush,109080083,46950,medium
ja,802124,Ken Hirai 10th Anniversary Complete Single Collection '95-'05 歌バカ,109390351,11218,medium
ja,3053289,LARME,108846853,33355,medium
ja,1073032,LGVペルピニャン-フィゲラス線,108040632,34131,medium
ja,2301546,L.A.ノワール,109395830,66688,medium
ja,5050754,LEGION (Creepy Nutsのアルバム),106802900,10719,medium
ja,114322,LAST EXILE,108780813,57920,medium
ja,2736198,Kickstarter,108179389,48312,medium
ja,1661420,LBSC (人物),89877147,11222,medium
ja,2551924,Kira☆kira,107011862,13777,medium
ja,4056398,Kolokol,108220397,26681,medium
ja,2019375,K級軟式飛行船,94669056,13976,medium
ja,4725932,Kuro (女優),108213716,15913,medium
ja,2617562,Kindle Fire,108029318,19101,medium
ja,338148,Key Sounds Label,107585904,26460,medium
ja,1368164,Ken's Bar,108586982,22000,medium
ja,4428833,Ku70,98580525,13920,medium
ja,174452,LF+R,109319771,12814,medium
ja,4750760,Keiko (月星座占星術家・実業家),108099634,13182,medium
ja,4991748,LAZARUS ラザロ,109410135,28961,medium
ja,3931458,King & Prince (アルバム),105686623,15544,medium
ja,4623037,LA's FINEST/ロサンゼルス捜査官,109086789,68226,medium
ja,70255,L'Arc〜en〜Ciel,109318083,397522,medium
ja,829335,Kiroro,108409720,21342,medium
ja,3917930,Kuバンド,104541890,13678,medium
ja,1746776,Kmモビリティサービス,109379100,26284,medium
ja,4730163,Klang Ruler,109397293,15712,medium
ja,1488719,KベールスホットAC,104827074,18223,medium
ja,2035541,KikUUiki,106073168,15968,medium
ja,2917905,LACCO TOWER,109385284,44136,medium
ja,4986062,LEB128,108952279,11746,medium
ja,744664,LE-Car,108699032,22619,medium
ja,912355,KenKen,109398956,22260,medium
ja,3918782,King Gnu 井口理のオールナイトニッポン0(ZERO),105456213,12185,medium
ja,706020,LA音源,108124662,42897,medium
ja,2628927,K理論,109300407,11553,medium
ja,1672147,"Komm, susser Tod",108689470,15329,medium
ja,3941402,KiREI,105658606,10529,medium
ja,2777544,KiLa,105348623,10951,medium
ja,1814588,Kカンパニー,109319594,41753,medium
ja,586538,L'luvia,107295088,10842,medium
ja,4428931,Ku80,84959559,20804,medium
ja,4659676,LEX (ラッパー),109425099,70851,medium
ja,3544721,L'Arc〜en〜Ciel LIVE 2015 L'ArCASINO,105168275,21452,medium
ja,3724153,Know Your Meme,105111766,19270,medium
ja,3011936,Keeper Of The Flame,105277944,10421,medium
ja,1445966,LEADER'S HOW TO BOOK ジョーシマサイト,106720114,25071,medium
ja,990202,K・エリック・ドレクスラー,109152863,12848,medium
ja,1503006,LGBT史年表,109117669,88076,medium
ja,5014365,LGBTの人権団体,104325228,16647,medium
ja,1116122,LAS VEGAS,103943734,11194,medium
ja,1651018,KeNNy,105587839,14868,medium
ja,4539682,Kis-My-Ftに逢えるde Show 2022,107465423,13152,medium
ja,2533686,Kis-My-1st,108040618,24480,medium
ja,2954265,LEADERS リーダーズ,108628028,22321,medium
ja,3766273,Ki-67,96800434,11068,medium
ja,3368315,L-159 (航空機),107648812,25519,medium
ja,3702793,LFA王者一覧,108543374,21442,medium
ja,4228070,L3ハリス・テクノロジーズ,104708561,14552,medium
ja,2051058,L-01B,104382320,10105,medium
ja,5178233,K・ヴィシュワナート,107621232,54562,medium
ja,5014875,LAMP1,108031382,18948,medium
ja,5144227,Kビューティー,109047715,34459,medium
ja,2512947,Kidori Kidori,97128778,18390,medium
ja,2410503,LAMA,106248482,10754,medium
ja,366472,LE-5B,108374624,14245,medium
ja,369157,Keep On Fighting,106448215,26023,medium
ja,587388,Mathematica,107902195,68124,long
ja,869134,MUSIC JAPAN,107245895,88361,long
ja,1936964,KOBEプロレスフェスティバル,109289990,96222,long
ja,1333435,MRT南北線,108743142,103891,long
ja,4659676,LEX (ラッパー),109425099,70851,long
ja,165270,K1 (戦車),108174040,56327,long
ja,3964166,Minecraft: Story Mode,109389397,86568,long
ja,70467,MBSラジオ,109273522,145995,long
ja,3232310,KING SUPER LIVE,108895956,68089,long
ja,2836961,LIFriends,109023355,81588,long
ja,2627721,Maimai,109182772,80609,long
ja,137695,LOVE LOVE あいしてる,107369055,67947,long
ja,1262801,LORD of VERMILION,107594055,56569,long
ja,102078,LINDBERG,108937440,56902,long
ja,69129,MBSベースボールパーク,109450505,745602,long
ja,4989494,"Microsoft Windows 11, version 22H2",106977595,129553,long
ja,3445668,KEYABINGO!,109114128,78159,long
ja,1740489,M4カービンに関連する作品の一覧,109246327,52810,long
ja,3439334,KING OF PRISMのディスコグラフィ,108008444,104853,long
ja,3909954,Live News イット!,109417302,176529,long
ja,1542341,LAW & ORDER:性犯罪特捜班,108724540,98137,long
ja,41733,M1エイブラムス,109405703,70388,long
ja,3471952,Kの昇天,108812944,52583,long
ja,795529,MC.205 (航空機),108112459,63052,long
ja,2431401,Jリーグクラブライセンス制度,109273330,160814,long
ja,624887,LIAR GAME,109407494,157556,long
ja,5693,J・K・ローリング,109394313,158395,long
ja,539940,MOTHER2 ギーグの逆襲,108736115,71421,long
ja,2092331,MBTI,109383386,68841,long
ja,790633,MOBILE SUIT IN ACTION!!,107814726,53918,long
ja,2209324,LibreOffice,109428025,93860,long
ja,2809,MSX,109348635,149645,long
ja,3231548,Mrs. GREEN APPLE,109429062,333307,long
ja,3263107,MURCIELAGO -ムルシエラゴ-,108126615,103871,long
ja,4224769,"KOTOKO's GAME SONG COMPLETE BOX ""The Bible""",108242826,54017,long
ja,4835418,Let's天才てれびくんの生放送,100136152,80107,long
ja,4821499,K.G.F: CHAPTER 1,108716947,111485,long
ja,4583216,Jubilee jubilee,109285645,77481,long
ja,3647299,MFゴースト,109278052,163944,long
ja,2779359,Lynn,109402812,168502,long
ja,667725,May'n,109341602,155174,long
ja,3319618,Luce Twinkle Wink☆,108627549,133020,long
ja,4986328,Microsoft Windows 10のバージョン履歴/バージョン 22H2,106669097,51637,long
ja,4980262,Lov U,107750013,101030,long
ja,3714229,LGBTの人々に対する暴力,108251501,78119,long
ja,4598684,Mリーグ2022-23,108413686,186117,long
ja,4859141,KAWAII LAB.,109426203,58066,long
ja,79578,MBSヤングタウン,109061266,113373,long
ja,1645087,MQ-9 リーパー,109400208,52879,long
ja,3702778,LUCIFER/ルシファー,109179903,164112,long
ja,746869,NBAGリーグ,108907950,50363,long
ja,2194440,MPEG-4 Part 3,109350086,54630,long
ja,5087425,MUSIC AWARDS JAPAN 2025,108383916,88025,long
ja,852138,Microsoft Windows 7,109053357,100105,long
ja,825302,LOVE ME DO (芸人),108109247,52623,long
ja,84897,LUNA SEA,109323865,171823,long
ja,1174707,KF-21 (航空機),109328016,58409,long
ja,189016,M2ブラッドレー歩兵戦闘車,109384321,56823,long
ja,3394755,Jリーグの外国籍選手,107750990,68356,long
ja,3292204,KING OF PRISM by PrettyRhythm,108611447,51124,long
ja,236370,KUNOICHI,109336522,136457,long
ja,2826858,M-flo,109333397,69089,long
ja,1306179,MacBook Air,109126978,115553,long
ja,335373,KENN,109442164,235230,long
ja,1795930,MI-5 英国機密諜報部,108109364,67442,long
ja,46215,LGBT,109394227,83007,long
ja,93901,Mova,105946850,70610,long
ja,4402737,MAD RAT DEAD,108002794,52136,long
ja,273523,MARVEL VS. CAPCOM 2 NEW AGE OF HEROES,109431316,62200,long
ja,2348854,LinQ,109375732,168201,long
ja,4238722,KOUGU維新,109238810,50785,long
ja,458376,NATO陸軍士官の階級と徽章,109213197,54473,long
ja,1503006,LGBT史年表,109117669,88076,long
ja,2697931,MDNA Tour,107252762,83116,long
ja,3839117,Marvel's Spider-Man,107861281,62816,long
ja,1443752,KOTOKO,108312447,287812,long
ja,2634362,LIFE!〜人生に捧げるコント〜,109403600,170826,long
ja,266128,LUNKHEAD,108594145,58712,long
ja,221640,LOVELESS (高河ゆんの漫画),108198032,90808,long
