lang,page_id,title,latest_rev_id,bytes,stratum
pl,277956,Le Gua (Isère),70645072,2105,short
pl,254216,Le Caire,74870928,2506,short
pl,1847278,Le Haut-Saint-François,69226304,2124,short
pl,240680,Le Bosc-Renoult,70615519,2154,short
pl,238427,Le Donzeil,70613365,2068,short
pl,246840,Le Coudray,70619287,2082,short
pl,3467235,Le Mans Series 2004,68115501,12239,short
pl,273573,Le Bignon-du-Maine,79370740,2228,short
pl,275480,Le Fenouiller,70643515,2130,short
pl,269465,Le Carlaret,70638088,2098,short
pl,165468,Le Mans,75891293,5576,short
pl,4354049,Le Landeron,79057871,2474,short
pl,550036,LeVar Burton,76097045,8059,short
pl,232344,Le Claux,70607357,2068,short
pl,5789862,Le Cavalier Differdange,75794056,6388,short
pl,5948251,Le Bon Marché,77493750,1592,short
pl,267595,Le Gicq,70636696,2145,short
pl,267603,Le Gua (Charente-Maritime),72141882,2118,short
pl,1633806,Le Claret,76688961,1464,short
pl,262086,Le Blanc-Mesnil,79175938,3686,short
pl,267515,Le Chay,70636612,2050,short
pl,250192,Le Hamel (Oise),70622572,2027,short
pl,252802,Le Chateley,70625115,2121,short
pl,255574,Le Bousquet,70627686,2085,short
pl,277029,Le Crestet,70644218,2103,short
pl,4997347,Le Cabanon,74502287,2975,short
pl,237305,Le Loroux,71812079,2206,short
pl,238099,Le Jardin,70612971,2108,short
pl,246901,Le Gault-Saint-Denis,70619370,2166,short
pl,760151,LeRoi Moore,68896985,2312,short
pl,240711,Le Champ-de-la-Pierre,70615553,2181,short
pl,232719,Le Mas-de-Tence,70607806,2080,short
pl,277020,Le Cheylard,70644209,2614,short
pl,251634,Le Bizot,70624181,2085,short
pl,3844583,Le Bosc du Theil,78034205,2922,short
pl,1278837,Le Canadien,72417815,1502,short
pl,280269,Le Châtelet-sur-Sormonne,70646986,2037,short
pl,273163,Le Bourg-d’Iré,75947026,3014,short
pl,240174,Le Grand-Celland,70614937,2131,short
pl,236738,Le Cloître-Pleyben,71808700,2189,short
pl,4778764,Le Controis-en-Sologne,73377808,3046,short
pl,1623163,Le Courrier de l’Ouest,65109230,2062,short
pl,6011295,LeToya Luckett,78471213,10966,short
pl,273918,Le Chevain,70643128,2647,short
pl,47671,Le Figaro,78380388,11518,short
pl,2818893,Le Breuil (Marna),77681897,1970,short
pl,267940,Le Bourdet,70637092,2057,short
pl,278751,Le Breuil (Rodan),70645799,2216,short
pl,1904081,LeRoy Pope Walker,79014059,2062,short
pl,272952,Le Fresne-sur-Loire,73781044,3892,short
pl,1888611,Le Golfe-du-Saint-Laurent,69226453,2368,short
pl,236847,Le Leslay,71807723,2161,short
pl,256179,Le Garn,70628343,2122,short
pl,254474,Le Bersac,77651686,2474,short
pl,273329,Le Marillais,73378239,3067,short
pl,3328529,Le Mans Series 2006,43879473,37057,short
pl,269569,Le Mas-d’Azil,73338447,2321,short
pl,1923610,Le Diamant,70653257,1425,short
pl,232624,Le Bouchet-Saint-Nicolas,70607688,2135,short
pl,237250,Le Ferré,71811150,2181,short
pl,234613,Le Haillan,70609426,2153,short
pl,259142,Le Maisnil,70630123,2117,short
pl,250091,Le Déluge,70622454,2698,short
pl,2478970,Le Calvaire,77855495,3922,short
pl,275492,Le Girouard,70643526,2117,short
pl,272302,Le Dourn,70641722,2093,short
pl,3033257,Le Breuil-en-Auge,70649712,2112,short
pl,4772143,Le Chant des Partisans,73233612,5668,short
pl,238135,Le Lonzac,70613017,2117,short
pl,3061709,Le Fifre,71841035,1211,short
pl,267586,Le Fouilloux,70636685,2090,short
pl,230537,Le Manoir (Eure),70605679,2435,short
pl,232006,Le Bouchaud,74890412,2566,short
pl,262088,Le Bourget,75942414,2866,short
pl,272503,Le Masnau-Massuguiès,70641915,2185,short
pl,273983,Le Grand-Lucé,70643185,2206,short
pl,277409,Le Chalon,70644563,2078,short
pl,123033,Le Marais,76717847,7588,short
pl,1751451,Le Fetiche Maya,78224705,4187,short
pl,711344,Le Chiffre,77006901,1194,short
pl,233930,Le Fleix,70608733,2345,short
pl,253025,Le Frasnois,70625356,2122,short
pl,247570,Le Magny (Indre),70619809,2121,short
pl,605298,Le Canard enchaîné,69453662,3313,short
pl,1011857,Le François,70653076,1372,short
pl,241159,Le Bouillon,70616078,2131,short
pl,252871,Le Deschaux,70625211,2089,short
pl,3311819,Le Mans Series 2011,56495949,37504,short
pl,252993,Le Louverot,74545353,2139,short
pl,230860,Le Caule-Sainte-Beuve,70606026,2169,short
pl,240239,Le Lorey,70615005,2086,short
pl,469101,Le Madame,77195940,4495,short
pl,281240,Le Buisson (Marna),70647967,1934,short
pl,2211576,LeJerald Betters,66867802,4087,short
pl,230385,Le Fidelaire,70605520,2090,short
pl,246875,Le Favril (Eure-et-Loir),70619334,2105,short
pl,248248,Le Gault-du-Perche,70620436,2622,short
pl,3834890,Le Bas Ségala,76398343,3230,short
pl,276979,Le Béage,70644174,2098,short
pl,227803,Le Hohwald,70604182,1917,short
pl,591708,Tom Clancy’s Splinter Cell,79644982,12501,medium
pl,69015,Tom Morello,79468949,18804,medium
pl,6029497,Toi Toi Toi,78976203,19167,medium
pl,6000480,Tokyo Disneyland,78421123,13757,medium
pl,2449828,Tomasz Stępień (rugbysta),79696137,24733,medium
pl,188387,Tomasz Jastrun,78321747,16339,medium
pl,174404,Tojad,79329710,30563,medium
pl,5164854,Tomasz Mazurkiewicz (ur. 1968),79269505,10710,medium
pl,6054797,Tokyo Performance Doll,79409905,36538,medium
pl,513147,Tokyo Wan Aqua-Line,71319860,32929,medium
pl,5028868,Tomasz Piotrowski (generał),79103500,13485,medium
pl,832743,Tom Berenger,79690197,19232,medium
pl,2158628,Tomasz Kupisz,79311532,24835,medium
pl,3724744,Tom Holland (aktor),79543925,11411,medium
pl,121727,Tomasz Kuchar,77369601,11619,medium
pl,1035249,Tomasz Leśniowski,79509541,14378,medium
pl,2109082,Tom Dillmann,79694569,38197,medium
pl,1783964,Tomasz Herkt,79314819,14928,medium
pl,4661565,Tomasz Fall,79552490,12641,medium
pl,1443253,Tomasz Gapiński,78452021,15596,medium
pl,2337055,Tomasz Obertyński,78078796,14357,medium
pl,204014,Tolkmicko,79510880,19210,medium
pl,2835629,Tom Shields,69850214,15829,medium
pl,1166963,Tom Rush,78252282,13317,medium
pl,2745431,Tomasz Kamusella,79527275,20811,medium
pl,24088,Tomasz Lengren,76029515,11209,medium
pl,1521535,Tomasz Cielebąk,73172995,10542,medium
pl,3061986,Tomasz Kostuch,79702371,16202,medium
pl,664646,Tom Hilde,79167433,116544,medium
pl,5325645,Tom Breese,79318741,28212,medium
pl,1781461,Tlenki węgla,78754257,31522,medium
pl,1306262,To Ramona,79394870,31171,medium
pl,5854467,Tomas Kuisma,79539003,45396,medium
pl,1908922,To jest rozrywka! II,78282025,10153,medium
pl,3744431,Tomasz Franciszek Sabaudzki-Carignano,78557696,29464,medium
pl,610252,Tomasz Steciuk,79125545,14091,medium
pl,891069,Tojeść,79443461,32419,medium
pl,1119191,Tomasz Malicki,79295483,10237,medium
pl,6101,Tlenki,78378909,15552,medium
pl,2705707,Tom Hateley,73880605,12554,medium
pl,3107382,To co nam było,76497537,17268,medium
pl,4632410,Tmezypterys,78654630,10518,medium
pl,439614,Tomasz Nowak (polityk),79401328,10451,medium
pl,4751928,Tomasz Kupiec,78577852,12129,medium
pl,891541,Tom Selleck,78194836,24987,medium
pl,1199234,Tom Chilton,79482094,19873,medium
pl,3341942,Tomasz Siemiątkowski (prawnik),79584823,32697,medium
pl,3770787,Tom Payne (aktor),77213099,10308,medium
pl,4069524,Tomasz Drabek,79183218,10138,medium
pl,3460987,Tokyo Ghoul,78850875,27605,medium
pl,3446104,To Pimp a Butterfly,79545026,34693,medium
pl,1535347,Tom Hardy,77951841,15244,medium
pl,2502766,Tokusō Sentai Dekaranger,78179662,35948,medium
pl,286381,Tkanina z Bayeux,78503745,29253,medium
pl,2733540,Tomasz Kaczor,69264492,11522,medium
pl,3345526,Tomasz Małyszek,79180349,12283,medium
pl,216911,Tom Jones (piosenkarz),78405896,33915,medium
pl,4213889,Tomasz Fopke,79183552,13895,medium
pl,297239,Tomasz Merta,77958787,11938,medium
pl,759731,Tomasz Różycki (poeta),79525077,11612,medium
pl,3828626,Tom Scholz,79700600,11543,medium
pl,5157795,Toksyczna męskość,79705380,31333,medium
pl,42590,Tomasz Kołodziejczak,78187049,17087,medium
pl,11276,Tomasz,77954963,18786,medium
pl,531939,Tomasz Bonin,66075518,14976,medium
pl,617810,Tomasz Sapryk,79241327,19448,medium
pl,165577,Tomasz Adamek,79526751,65596,medium
pl,3086112,Tomasz Ciach,79123188,10590,medium
pl,3233832,Tomasz Gielo,78140340,15328,medium
pl,5399231,Tokyo Revengers,79706671,43636,medium
pl,589037,Tomasz Mędrzak,79269529,10519,medium
pl,507288,Tom Byron,77899582,21445,medium
pl,1106480,Tomasz Sommer,76472875,12011,medium
pl,3541324,Tomasz Gębala,78853989,15206,medium
pl,314967,Tomasz Karolak,79712332,25840,medium
pl,2771090,Tom Hanlon,77475912,13991,medium
pl,707024,Toftir,73439082,14069,medium
