lang,page_id,title,latest_rev_id,bytes,stratum
pt,1828068,Rzgów,70479123,2344,short
pt,4458143,Rádio Clube de Angra,69810511,8733,short
pt,1622451,Rádio Relógio,69356279,8426,short
pt,524456,Rádio Fóia,68603809,3632,short
pt,2898869,Rádios EBC,71112530,4292,short
pt,2829647,Rádio Roquette Pinto (1934–2003),71999016,11496,short
pt,2988916,Rère,59195701,1120,short
pt,1714115,Rádio Pirata ao Vivo,72135730,7050,short
pt,6891223,Rátót,63733398,1581,short
pt,2060805,Rádio Clube (Lages),69461149,3834,short
pt,5896457,"Rápido, Desenhe!",58120220,3327,short
pt,2157009,Rádio Televisão da Sérvia,69493189,3534,short
pt,1444947,Rättvik (comuna),55762229,1194,short
pt,1587745,Rádio Nederland,60149092,2091,short
pt,7702908,Rádio Orfeu,70866474,4310,short
pt,5098988,Rättvik,57244059,3407,short
pt,5352032,Rã-de-borracha-de-attenborough,67168710,2485,short
pt,911986,Rádio Sagres,66123757,16872,short
pt,1084263,Rádio Gazeta Online,71358592,11191,short
pt,3497328,Rádio Matraca,71571842,9333,short
pt,5154511,Rádio Assunção,71312660,10675,short
pt,2654778,Rádio Pop Cariri,69430458,11947,short
pt,7338506,Rádio SBSR,69336423,2514,short
pt,1793671,Rádio Sul Fluminense,68825624,4320,short
pt,3163868,Rádio Brasil,71860443,1211,short
pt,7240628,Rãzinha-pulga,66934798,2690,short
pt,2149965,Rádio do Festival Eurovisão da Canção,69547878,2084,short
pt,7703660,Rádio Ucraniana,70874390,5573,short
pt,2125209,Rádio Paulista,71908753,6784,short
pt,1524353,Rádio Horizonte,69891583,2325,short
pt,2068120,Rádio Imprensa,71199976,9334,short
pt,1090289,Rádio Clube (Recife),70865547,25099,short
pt,5450333,Rádio ZigZag,67611887,2215,short
pt,2473472,Rádio-halo,45219398,2443,short
pt,1749572,Rádio T,69253937,6270,short
pt,3153014,Räckelwitz,57887938,1861,short
pt,6766505,"Rádio Esperança 97,5FM",66714319,10110,short
pt,5802800,Rádio Progresso (Capim Grosso),64298097,6989,short
pt,5977661,Rádio Nova Morada,71302052,20983,short
pt,1326333,Rã-arborícola-de-dahl,59134755,1047,short
pt,2988377,Rádio São Paulo,69812625,11517,short
pt,5648441,Rádio Baré,71199618,12362,short
pt,2145276,RÚV,69806545,7242,short
pt,2422780,Rádio Zarco,62178359,1307,short
pt,6112866,Rádio Voz da Liberdade,71690040,3692,short
pt,7152143,Rádio Praga,69810566,2952,short
pt,1390463,Rádio Record,71865280,19234,short
pt,1265605,Rádio Manchete,72207438,20657,short
pt,1157669,Rádio Educadora (Limeira),64672125,4081,short
pt,1599287,Rádio Itatiaia,71022367,8969,short
pt,1627395,Rádio Fluminense,71199942,3678,short
pt,1239436,Rádio Rural (Porto Alegre),71199157,4430,short
pt,2141170,Rádio Cidade (Maputo),61150905,1036,short
pt,481965,Rádio-Observatório de Itapetinga,69501218,2155,short
pt,2875324,Rádio Brasil Central,65027694,5601,short
pt,1998307,Rãs (Romãs),58645354,1763,short
pt,1840589,Rádio Clube (Santos),67850861,3715,short
pt,326930,Rádio Moçambique,69492971,3790,short
pt,2056326,Rádio Brasil 2000,72145996,5487,short
pt,2448993,Råsunda Idrotssällskap,56258361,1553,short
pt,6880906,Rábakecöl,67385796,1539,short
pt,3829857,Rádio Portimão,64648662,6700,short
pt,6122237,Ráztoka,70501842,2047,short
pt,6880902,Rábacsécsény,63640346,1651,short
pt,6918490,Rádio Cidade Verde,72042459,10649,short
pt,1689148,Rádio Globo Teresina,71851511,6447,short
pt,5697435,Rádio Diário (Manaus),72031064,5882,short
pt,7094078,Rádio Londres,71866734,8378,short
pt,4124238,Rádio Relógio Musical,71627759,3385,short
pt,6144128,Rádio Up Vitória da Conquista,71295201,6266,short
pt,5710541,Rádio Difusora de Picos,68709217,6743,short
pt,2632109,Rádio Universidade de Coimbra,71710794,5632,short
pt,2352044,Rádio CV Mais,69126522,10812,short
pt,7728989,Rå,71084301,3234,short
pt,345093,Rákóczi,57587575,1299,short
pt,244978,Rânes,69255392,1131,short
pt,4432179,Rádio Difusora do Amazonas,71052846,5536,short
pt,2992828,Rádio-orientação,70402096,6974,short
pt,338702,Rádio Canção Nova,70503593,7555,short
pt,5283896,Rádio Lajes,47552715,2806,short
pt,6880963,Rábatamási,63640890,1624,short
pt,4885681,Rádio Globo Maceió,72032531,10659,short
pt,4047434,Rádio Xilik,71200117,4474,short
pt,1632234,Rádio Tamoio,71125458,6126,short
pt,5102773,Rádio Nacional de Angola,71719148,11531,short
pt,45129,Rádio (osso),70694139,1765,short
pt,5462668,Rádio Sousa FM,61082290,2198,short
pt,2654874,Râșca (Cluj),55202251,1367,short
pt,5805876,Rádio Vida Nova,69582318,6784,short
pt,3846744,Rádio Lagoa,69616599,2339,short
pt,345906,Rã-ibérica,59516710,3073,short
pt,249074,Ré,68577681,3452,short
pt,1624697,Rádio CDN,70393069,4909,short
pt,2678499,Râu Alb,68549682,1329,short
pt,5871191,Rádio O Povo CBN Cariri,66306156,5237,short
pt,3222053,Rádio Record Campos,71022185,4658,short
pt,2231052,Räbke,68630723,1496,short
pt,4861353,Rádio Internacional da China,72080874,6752,short
pt,2112615,Rádio O Liberal CBN,71199656,4414,short
pt,1306505,Rádio de galena,71378204,4994,short
pt,2010111,Sri Chinmoy,69812679,99546,medium
pt,846501,Sporting Clube Campomaiorense,70919378,11028,medium
pt,2102746,Stacy London,70467082,16968,medium
pt,2084609,Spider-Man: Web of Shadows,71191890,52483,medium
pt,2220920,Special Olympics,71973503,11439,medium
pt,311149,Sport Clube Praiense,69777979,11515,medium
pt,2411625,Stanislas Dehaene,67647794,18932,medium
pt,3206002,Spartathlon,70633071,18669,medium
pt,2313297,Spider-Man 2 (jogo eletrônico),69641947,13818,medium
pt,5871256,Stadium MK,70363856,49254,medium
pt,70089,Stakeholder,71592887,13838,medium
pt,1831541,Spencer Chamberlain,71100027,13846,medium
pt,7726109,Spy × Family (1.ª temporada),71406754,54680,medium
pt,7782212,St Helen's,71568252,10808,medium
pt,4196185,Sport Club Corinthians Paulista (futsal),71512993,20357,medium
pt,266725,Sport Clube Melgacense,71171933,27592,medium
pt,1528798,Spiceworld Tour,68286395,26463,medium
pt,103231,Sport Club do Recife,72103792,143065,medium
pt,5437110,Spero Penha Morato,72043342,18893,medium
pt,2669587,Spider-Man (jogo eletrônico de 2002),71191906,34506,medium
pt,5773101,SparkyLinux,68921678,10220,medium
pt,5725228,Space Racers,70085106,10137,medium
pt,574663,Stanisław Koniecpolski,71234505,28674,medium
pt,6773406,Stand in the Schoolhouse Door,71002520,15647,medium
pt,3426444,Squash nos Jogos Pan-Americanos de 2011 - Equipes femininas,34736304,13676,medium
pt,7135342,Spiculogloeomycetes,65927719,10046,medium
pt,2683684,Sparks Fly,70555580,31582,medium
pt,3253360,Spaniel Russo,69628482,11451,medium
pt,5804457,Stanislav Lobotka,71940222,10492,medium
