lang,page_id,title,latest_rev_id,bytes,stratum
ru,6201772,X5D,152336786,2651,short
ru,10932221,XIII съезд Коммунистической партии (большевиков) Беларуси,145808268,5940,short
ru,1470880,XVIII династия,153026292,24809,short
ru,3876855,Wyeomyia,149936968,6754,short
ru,101897,XUL,152905004,11159,short
ru,10320250,XV саммит БРИКС,149566815,26368,short
ru,2991135,XPNPEP3,100757809,1423,short
ru,238162,XChat,149822455,5393,short
ru,2990883,X-COM: First Alien Invasion,152060367,8169,short
ru,7510333,XTS-400,146721261,17734,short
ru,1368296,XM-25,150257606,16822,short
ru,5241512,XPDL,146586821,2065,short
ru,951949,Wärtsilä,149840190,26261,short
ru,7549233,X-система,148321134,3483,short
ru,61834,XRI,140698539,11570,short
ru,553908,XV Аполлонов легион,144415680,10418,short
ru,8154422,XENON (эксперимент),152127264,17965,short
ru,4866376,XIV династия,152401341,18862,short
ru,2791933,X-COM: Enforcer,151737575,11619,short
ru,7725808,Wz. 78,150019625,2606,short
ru,4720800,XWork Server,152590979,6494,short
ru,2561447,XMind,146367849,13647,short
ru,767074,WxDev-C++,149838771,2306,short
ru,10598865,XNXX,149177013,6703,short
ru,2895170,Wz.28 (бронеавтомобиль),149905377,9449,short
ru,7747161,X-Men: Children of the Atom,151737594,32642,short
ru,1635496,XL Recordings,149858755,6157,short
ru,70564,XDCC,121961867,5320,short
ru,1167019,XACML,146261973,23858,short
ru,9291657,X-Club,146935690,8704,short
ru,8700879,XQc,149622930,26148,short
ru,2719478,XO-5,149899156,7148,short
ru,442684,X-SAMPA,149828230,31233,short
ru,2283791,"Wyvern (группа, Швеция)",105938651,6063,short
ru,576060,XVI век до н. э.,148395942,10533,short
ru,20808,XSLT,149813892,25157,short
ru,892507,X-Ray Spex,146252247,19906,short
ru,6619393,XVII Всероссийский съезд Советов,146671706,3402,short
ru,6613236,XPNAV-1,150788017,29040,short
ru,2948293,X-Фактор (сезон 1),146401924,44439,short
ru,2588568,XPCOM,148071366,8955,short
ru,10505843,XGMML,141879349,2323,short
ru,681257,XL (альбом),148743195,24270,short
ru,695,XVII век,152575161,15550,short
ru,2886404,XAP,146399846,4873,short
ru,2260346,XO-3 b,118522123,3457,short
ru,1635449,XKMS,89618003,2613,short
ru,917806,XOberon,152581123,1875,short
ru,3077271,XADO Motorsport,146403376,11482,short
ru,3039191,XIX династия,148464552,11275,short
ru,94410,WxWidgets,149816948,26041,short
ru,699,XIII век,152279669,11848,short
ru,8435146,XCOM 2: War of the Chosen,152644722,58966,short
ru,212944,X86-64,151844084,21017,short
ru,1164094,X-хромосома,150253529,9821,short
ru,2982462,X-диапазон,146404753,11699,short
ru,658821,XOTcl,149833027,4360,short
ru,372270,XOR-связный список,153041488,4140,short
ru,9770709,XII конференция РКП(б),148538317,6952,short
ru,590930,XXII Дейотаров легион,149610896,20162,short
ru,8103546,X17 (частица),149219183,91067,short
ru,801159,XIII Всемирный фестиваль молодёжи и студентов,151333564,10226,short
ru,3752163,XL-центр,149435256,4514,short
ru,9005202,XVIII съезд КПРФ,147420562,30393,short
ru,1093712,XIV округ Парижа,147805961,31329,short
ru,7500541,Wz.93 (каска),142318935,6998,short
ru,4866365,XV династия,131094141,8647,short
ru,1996262,X-Fusion,140112986,6556,short
ru,696,XVI век,152275245,12599,short
ru,7121744,XIX съезд КПК,152421068,39544,short
ru,2901837,X-серия Nokia,150296228,2988,short
ru,10362449,XRISM,147825407,12856,short
ru,568964,X-COM,151332283,17661,short
ru,2905498,XIX конференция КПСС,151416098,19182,short
ru,90487,XV век до н. э.,139724838,7901,short
ru,1474546,XDXF,152328445,12505,short
ru,9871830,X-Squad,151737606,14077,short
ru,700,XII век,152279685,15660,short
ru,141864,XO-1 (ноутбук),152438117,44556,short
ru,9298734,XGBoost,145276726,16085,short
ru,953,XMPP,152931050,32459,short
ru,1824088,XIII.století,152031447,13844,short
ru,92542,X-COM: UFO Defense,151737581,80018,short
ru,259281,XHTML 2.0,149822869,2943,short
ru,7223747,XMLmind XML Editor,152404054,4952,short
ru,1093760,XV округ Парижа,147805970,41844,short
ru,6138165,XTR (алгоритм),149596885,21834,short
ru,2026272,XTRMNTR,149870160,5351,short
ru,10300690,Wyndham Hotels & Resorts,151391031,15227,short
ru,869825,X-эффективность,143421101,9079,short
ru,708054,XV съезд ВКП(б),148464075,22803,short
ru,3025112,X-образный двигатель,152149738,8326,short
ru,738914,XDS Astana Team,152935497,69578,short
ru,4497677,XVIII конференция ВКП(б),145745986,8090,short
ru,11271956,Wẽte,151986605,2854,short
ru,6754527,XM,137445717,6330,short
ru,10666279,X-Plane 12,152886016,10168,short
ru,137765,XL Media,152576656,19236,short
ru,21618,XHTML,152345448,19009,short
ru,724009,X.25,149835108,45004,short
ru,4350330,Tagaz Aquila,152466732,14811,medium
ru,1843940,Tagaz Vega,152940307,15704,medium
ru,3586297,T-killah,152672923,11391,medium
ru,547276,Take That,152546770,19623,medium
ru,11429979,T-454 «Иван Сладков»,151975358,11463,medium
ru,10699028,Tablet (журнал),150873216,32032,medium
ru,1505896,TV5 (Латвия),146287450,13154,medium
ru,628133,"System Shock (игра, 1994)",150168650,75604,medium
ru,5638266,TSC2,151567025,21185,medium
ru,312636,T-800 (киборг),152699700,70188,medium
ru,5360469,TEMPO,131054795,11225,medium
ru,10162586,TJX Companies,146983146,12339,medium
ru,1797204,Taj Mahal Palace,147229320,13642,medium
ru,1711320,Taito Corporation,150329311,12224,medium
ru,8991880,Súbeme la Radio,152244573,38158,medium
ru,7502643,TVR Griffith,147818184,18942,medium
ru,10109165,TGH (госпиталь),149510314,13847,medium
ru,4324914,"TLC: Tables, Ladders & Chairs (2013)",151653467,35259,medium
ru,6765078,TIAA,146687317,14005,medium
ru,5034413,TVP Historia,149969172,14041,medium
ru,1676913,T25,147864545,16934,medium
ru,4237847,TOTP,152109272,10738,medium
ru,2361438,Tachikawa Ki-9,150366942,15195,medium
ru,8255309,TOGG,148865103,15351,medium
ru,9451404,Taikoo Hui,152565673,10366,medium
ru,8096731,Take.1 Are You There?,149449449,24525,medium
ru,2583968,Tachys,151869003,20716,medium
