lang,page_id,title,latest_rev_id,bytes,stratum
sr,862712,Kokodamol,27605523,3708,short
sr,4140055,Konfučijanski kanon,30942498,19262,short
sr,882150,Kobaltocen,29208848,4949,short
sr,3935559,Koledž Dartmut,30555963,26235,short
sr,1423151,Knud Bode,30502475,4077,short
sr,537067,Komponenta komplementa 3a,29209013,1349,short
sr,189927,Kogeneracija,29208902,2257,short
sr,557546,Književno novinarstvo,29208788,8508,short
sr,1358792,Knitr,29208776,5627,short
sr,4036851,Knjižarstvo i štamparstvo u Zaječaru,29208780,12250,short
sr,659296,Koenzim M,29208889,6356,short
sr,745374,Kortikosteroidna izomeraza bočnog lanaca,30410184,1782,short
sr,862717,Kolestilan,29208943,3538,short
sr,882132,Kobalt(II)-bromid,30868993,4936,short
sr,730174,Koagulacioni faktor IXa,29208807,2453,short
sr,1418880,Konvertor rđe,29853082,5024,short
sr,452903,Korpiklaani,29209220,2455,short
sr,1427880,Konceptualna metafora,29209043,12115,short
sr,882149,Kobalt(III)-oksid,30878151,4870,short
sr,567102,Kompleksometrija,29209003,4015,short
sr,882165,Kombretol,29208976,5092,short
sr,4105808,Kogal,29208900,9849,short
sr,882182,Konvolutindol A,29209137,5111,short
sr,882174,Koniferil alkohol,29209078,5048,short
sr,1986859,Kompleksna vrsta,29209001,8588,short
sr,4067457,Kontrakcija dužine,30634203,18168,short
sr,629874,Kolekcija Trajković,30370086,11100,short
sr,696948,Književna zajednica Mirko Banjević,29868536,2931,short
sr,882227,Korinolin,29209195,5148,short
sr,764517,"Konterra, Maryland",30219784,5166,short
sr,449668,Kontron PSI 80,30731169,4037,short
sr,465090,Komorani,30305531,6705,short
sr,4575680,Koncertna agencija,30334109,6799,short
sr,593223,Komitet za međunarodnu saradnju studenata medicine — Srbija,29933489,13854,short
sr,2089187,Kongenitalna dijafragmalna hernija,29872590,12573,short
sr,891060,Kobofenol A,29208851,5673,short
sr,862729,Ko-tenidon,29208795,3840,short
sr,1287316,Koordinacioni broj,29209148,1696,short
sr,135453,Koncert za violinu i orkestar (Betoven),29209046,3290,short
sr,891061,Kopsanon,30263995,6084,short
sr,4127322,Kordunaški proces,29209180,6744,short
sr,845124,Koproporfirinogen III,29889260,6943,short
sr,4198130,Književnost za mlade,30731141,21367,short
sr,681699,Koproporfirinogen oksidaza,30646118,2227,short
sr,1416939,Komutativni ugovor,29209035,1055,short
sr,730173,Koagulacioni faktor VIIa,29208808,2064,short
sr,4345186,Kombinirana malonska i metilmalonska acidurija,29208968,10145,short
sr,4330151,"Ko umre, videće se opet",29874480,3426,short
sr,158017,Kolos (računar),28516059,11455,short
sr,748359,Koenzim gama-F420-2:alfa-L-glutamat ligaza,29208891,1686,short
sr,290032,Kompresija bez gubitka,29209022,2562,short
sr,4512732,Konačni okršaj,29874757,2760,short
sr,701026,Kobalt-prekorin-5B (C1)-metiltransferaza,30645908,2338,short
sr,4549417,Kordteks,28409713,4306,short
sr,529715,Ko čuva svoj život izgubiće ga,29292508,2548,short
sr,4388223,Kompozicija A,29209018,6503,short
sr,551748,Konstanta disocijacije kiseline,30288535,5761,short
sr,775321,"Koppel, Pennsylvania",30220794,5175,short
sr,586976,Kognitivni deficit,29208904,5263,short
sr,4130709,Konveksni skup,30557671,36911,short
sr,882178,Konodurin,29209087,5153,short
sr,891058,Knifolon,29208765,5082,short
sr,191209,Kneginja Anastasija,29208762,5718,short
sr,536989,Komponenta komplementa 4,29209014,1853,short
sr,427412,Kobus ellipsiprymnus defassa,29208853,2245,short
sr,497109,Konurbacija,29916273,2371,short
sr,4189731,Komitet svetske baštine,30549689,17920,short
sr,4016654,Kompaktan prostor,30551640,18403,short
sr,916157,Koloidni rastvori,30645991,12867,short
sr,693635,Kofein dehidrogenaza,29208895,1512,short
sr,493122,Komunalna buka,29209026,9360,short
sr,1396748,Korekcija boja,30467577,15281,short
sr,556674,Konvergentna sinteza,29209134,1860,short
sr,609313,Kobalt(II)-hidroksid,30878138,7000,short
sr,557600,Komunikacija u grupi,29290763,4801,short
sr,882151,Kokamidopropil betain,29208918,5335,short
sr,1314716,Kodovi za identifikaciju plastičnih masa,29208871,8784,short
sr,687382,Koenzim F420 hidrogenaza,30645966,2918,short
sr,766764,"Knob Noster, Missouri",30220537,5157,short
sr,538196,Konivaptan,27748496,3809,short
sr,4379659,Kodeks novinara Srbije,29990831,4842,short
sr,891059,Koaburazid,29208806,5265,short
sr,882144,Kobalt(II)-sulfat,30878147,4978,short
sr,1269720,Kolaps (medicina),30110834,9144,short
sr,845107,Koproporfirinogen I,29889250,6936,short
sr,882212,Koprinol,29209162,4883,short
sr,882221,Koronen,29209216,5039,short
sr,710924,Kojibioza fosforilaza,29208912,1794,short
sr,805445,Kominje,29208978,3569,short
sr,862722,Kofenotrop,29208898,3653,short
sr,4530035,Kompilacioni album,30415046,3371,short
sr,231172,Kolizione norme,29208950,4638,short
sr,757674,"Komatke, Arizona",30219555,5144,short
sr,524854,Kontrarevolucija,30846042,3749,short
sr,98746,Kontrakultura,29950802,5751,short
sr,675365,Koniferil-alkohol dehidrogenaza,29209075,1764,short
sr,1368836,Konceptualno programiranje,30731163,5182,short
sr,680359,Kortizon b-reduktaza,30646138,4818,short
sr,3869222,Korporativni kapitalizam,29209221,7195,short
sr,748361,Koenzim F420-1:gama-L-glutamat ligaza,29208886,2014,short
sr,747835,Wget,29242767,21188,medium
sr,4185911,Univerzitet Džeđanga,30564495,18615,medium
sr,1719015,"Urgentni centar (američka TV serija, 7. sezona)",29241238,17332,medium
sr,3886550,XXXTentacion,30521923,62383,medium
sr,4642796,World Trigger,30926836,11714,medium
sr,283049,Unknown Pleasures,29241143,10604,medium
sr,4099987,Viverravinae,30813344,16605,medium
sr,4089883,Utvrđivanje alkoholisanosti,30813339,11884,medium
sr,4022939,Visinska močvara,30610126,19276,medium
sr,3861353,Vladimir Savić,29948435,14462,medium
sr,4597994,YUSCII,29984294,30975,medium
sr,1304691,Valentina Savić,30831670,13137,medium
sr,604087,XPB,30458645,14625,medium
sr,591178,WordPress,30859144,13143,medium
sr,4592029,VoLTE,30859072,31526,medium
sr,3882420,WeChat,30740679,39535,medium
sr,591952,X86,30780951,95342,medium
sr,4089527,Valabhaj Patel,29241474,17525,medium
sr,3935134,Ušmal,30871425,18705,medium
sr,4123725,Vim,30339497,12799,medium
sr,4161264,Velvičija,29241804,17114,medium
