lang,page_id,title,latest_rev_id,bytes,stratum
sv,8176354,Y Serpentis,47453704,2552,short
sv,2178281,Yaginumaella lobata,58425170,1790,short
sv,4345233,Yakirra nulla,57818629,1797,short
sv,8021432,Y Comae Berenices,39840635,2318,short
sv,7937064,Yaalcotz,57007640,7771,short
sv,8181106,Y Horologii,54381991,1863,short
sv,1455826,Xırdalan,57710736,5782,short
sv,5494947,Yaglavend,58364197,7962,short
sv,8011729,YMC Entertainment,46395905,2497,short
sv,8498117,Yahya Kalley,59176136,4999,short
sv,1051317,YUS (naturreservat),49346465,1155,short
sv,8115666,Y Arae,42309560,2081,short
sv,1648126,Yadier Molina,57492121,24811,short
sv,2178267,Yaginumaella badongensis,58039281,2418,short
sv,6616984,Yafforth,59094678,7709,short
sv,8823903,Yair Qedar,59070103,2815,short
sv,6167288,Yahk,57105407,7692,short
sv,5323016,Yakawlang (distrikt),56298492,4897,short
sv,6867012,Yahu Shuiku,51569487,4605,short
sv,8172436,Y Octantis,43131192,2375,short
sv,7938418,Yaalchuch,56515215,7702,short
sv,8947728,Yaara Sharabi,57594847,1635,short
sv,8758135,YZ Canis Minoris,53160236,8753,short
sv,6894836,"Yacha, Guangxi",58239824,5886,short
sv,5493910,Xıl,56958779,7696,short
sv,189586,Yakari,54085729,1696,short
sv,8159014,Y Leonis Minoris,42962257,2249,short
sv,8113909,Y Puppis,42289535,2003,short
sv,2162282,Yaginumena mutilata,58037173,1996,short
sv,7789372,Yabbenohr,40645624,4354,short
sv,7986,Yahoo!,58535649,12665,short
sv,6872456,Yadong Shuiku,50924013,4049,short
sv,5563233,Yagha,57057485,4435,short
sv,8420296,Yakima Electric Railway Museum,58675477,2442,short
sv,8951410,Yabiji,57657070,10460,short
sv,8105375,Y Capricorni,42196790,2003,short
sv,8604717,YZ Reticuli,51681422,7143,short
sv,6264680,Yagoua Airport,57143748,4429,short
sv,8844731,Yaddlethorpe,55582927,5312,short
sv,2178333,Yaginumaella striatipes,55761076,4552,short
sv,8236178,Y Trianguli,43675088,2205,short
sv,8823577,Yacimientos del Calvero de la Higuera,54838273,1724,short
sv,8044554,Y Columbae,40650348,1933,short
sv,152187,Y-kromosoms-Adam,54340890,2451,short
sv,4345232,Yakirra muelleri,55762019,2167,short
sv,2181655,Yaginumanis cheni,58272427,1978,short
sv,5322955,Yaftal-e Sufla,56298483,4701,short
sv,875566,YCo5p,59246983,6928,short
sv,841564,Y's Men International,54678216,2276,short
sv,2178269,Yaginumaella hyogoensis,57018710,2058,short
sv,8019080,Y Pegasi,39741612,2030,short
sv,3016229,Yagra,57155317,1603,short
sv,7933999,Yaalwakax,57007645,7934,short
sv,6167314,Yakoun River,56924833,5515,short
sv,7716434,Yafran,58003212,6284,short
sv,4986319,YTV (TV-kanal),50106101,2235,short
sv,424901,Yael Dayan,54767760,2350,short
sv,6898925,Yabulai,59109415,5920,short
sv,872772,Ya Sin,54606653,1380,short
sv,8622377,Yacine Louati,59073690,8572,short
sv,8443870,YSCC Yokohama,58522303,4095,short
sv,6594600,Yaiza,59039545,3710,short
sv,2178325,Yaginumaella variformis,56305799,2402,short
sv,814507,Yadkin County,48242892,2571,short
sv,1399798,Y Wladfa,50923631,4691,short
sv,6891562,Yagqu,58639516,4215,short
sv,6266618,Yacuanquer (ort),57147207,7871,short
sv,2217883,Yabisi guaba,57644919,1943,short
sv,3122575,Yaeprimus isigaabeus,55761286,1778,short
sv,2178329,Yaginumaella ususudi,56169865,4364,short
sv,6387324,Yaguate (kommun),56583900,2439,short
sv,7170215,Yacurí nationalpark,58675450,1982,short
sv,7917182,Yaalhichín,56515219,8042,short
sv,2178294,Yaginumaella stemmleri,56535220,2015,short
sv,8250403,Y Hydrae,47038459,2596,short
sv,8280838,YIT,49997557,1615,short
sv,7887426,Yahualica de González Gallo (kommun),56515229,4758,short
sv,4345217,Yakirra,56801084,1711,short
sv,2178283,Yaginumaella originalis,57799458,2026,short
sv,7913113,Yabteclum Fracción Dos,57007648,7996,short
sv,8865101,YTF på Gröna Lund,55321338,5156,short
sv,2162280,Yaginumena castrata,58467078,1996,short
sv,3662565,Yaaxkumukia moroni,56585441,1818,short
sv,2178277,Yaginumaella flexa,57792255,2363,short
sv,5829606,Yahuma,55590696,4218,short
sv,7656826,Yaksusan,57154962,4448,short
sv,1143381,Yacyretá-dammen,59259488,10307,short
sv,8025266,Y Piscium,46046992,2500,short
sv,5499179,Xınalıq,56958783,8276,short
sv,7855716,Yaita,37956534,1302,short
sv,6931468,"Yacheng, Fujian",56969049,6946,short
sv,7372175,Yakh Āb,57114123,7847,short
sv,8246287,Y Aquarii,43848622,2079,short
sv,7176408,Y Orionis,46161538,2438,short
sv,8205661,Y Sextantis,46213156,2785,short
sv,8707213,Yahia Attiyat Allah,57513112,2693,short
sv,5154123,Yaglou,56945725,2684,short
sv,6928638,Yajia,58115780,6990,short
sv,6808761,Xéchoro,57064622,8160,short
sv,8151248,Y Pyxidis,42877830,2044,short
sv,12767,Georg I av Storbritannien,58544912,10359,medium
sv,1761902,Gliophragma,42778376,49785,medium
sv,305893,Gladys del Pilar,57320685,10796,medium
sv,5721960,Gemensamma viseringspolitiken,56855287,56595,medium
sv,8014341,Gemensamma invandringspolitiken,57567042,17230,medium
sv,1476407,Georgien i olympiska sommarspelen 2012,55833206,19522,medium
sv,101186,Glamour (TV-serie),59248907,15954,medium
sv,8954312,Ginetta GT5 Challenge,58392453,15017,medium
sv,781078,Ghostbusters: The Video Game,47984842,11559,medium
sv,6249188,"Glia by, Bromma",49891427,18495,medium
sv,247202,Giftstruma,58965291,38669,medium
sv,658475,Gemini (teleskop),55009739,11225,medium
sv,201049,Getterön,58025204,14881,medium
sv,9173,Georg VI av Storbritannien,59030889,12467,medium
sv,80582,Gioacchino Rossini,58942212,11166,medium
sv,394947,Georg Trakl,55871019,19090,medium
sv,47472,George C. Scott,59004525,12706,medium
sv,9016235,Geofysik,59153052,54155,medium
sv,7985365,Global Energy Prize,59127235,21159,medium
sv,7826239,Gladys Bamane,57477890,11122,medium
sv,2195740,Global basinkomst,54254273,11321,medium
sv,1000643,Georg August Wallin,59140384,13195,medium
sv,304400,Giambattista Vico,58527308,11735,medium
sv,6249984,"Glia gravfält, Bromma",54107605,15836,medium
sv,182202,Gene Wolfe,58901585,10057,medium
sv,6287113,Gita Mehta,58965388,12024,medium
sv,378394,Gent–Wevelgem,59175855,19733,medium
sv,1659841,Giulia Farnese,59101909,13506,medium
sv,5508060,Gerrie Coetzee,59031019,13729,medium
sv,121339,George Pullman,59056765,13285,medium
sv,8395668,Gigekonomi,59121094,21037,medium
sv,99096,Gekås,59142882,15673,medium
sv,91672,Gin,59258043,15487,medium
sv,79604,Giovanni Battista Riccioli,59075438,28420,medium
sv,5653754,Glass House Mountains National Park,56568549,21482,medium
sv,8982485,Ghostbusters (datorspel),58641578,10132,medium
sv,642086,Give Peace a Chance,55792565,11326,medium
sv,979701,Gelada,58101073,18513,medium
sv,95267,Ginkgo,58770164,18121,medium
sv,567374,Givenchy,59254467,13937,medium
sv,8842646,Girls! Girls! Girls! (Elvis Presley-album),59203287,50064,medium
sv,1761904,Geastrumia,42755752,49783,medium
sv,8822141,German Masters 2024,59223865,22490,medium
sv,8824178,German Masters 2021,59223861,26375,medium
sv,286696,Genesis Open,55807405,12658,medium
sv,556002,Gilbert Hamilton (1869–1947),58693228,10830,medium
sv,1006832,George Stephens (filolog),56621358,14954,medium
sv,786811,Giancarlo Esposito,57597134,12100,medium
sv,6230760,Gilbert Melendez,58096768,12523,medium
sv,721,Gille,55544327,14408,medium
sv,1514048,Gina Dirawi,59186214,33280,medium
sv,1043775,Gisle Surssons saga,48087417,12778,medium
sv,8280860,Giroflé-Girofla,53655538,19400,medium
sv,8111333,Geoff Sanderson,54465112,11161,medium
sv,8738559,Giacomo Gentili,58204778,10064,medium
sv,8855136,Girl Happy (musikalbum),57914340,52461,medium
sv,192060,General Electric,54142745,28773,medium
sv,729140,Geometrins historia,57939133,16896,medium
sv,1662925,Georg Samuel von Gegerfelt (1779–1866),54150477,10141,medium
sv,8823404,German Masters 2023,59223863,27415,medium
sv,8655960,Giro d’Italia 2022,56434348,14934,medium
sv,8505987,Gianluca Scamacca,58830544,13135,medium
sv,1536333,German Masters 2012,43277763,11845,medium
sv,13463,Gdańsk,59220591,21556,medium
sv,262406,Giorgio Moroder,59227604,13856,medium
sv,1034238,"Gewandhaus, Leipzig",55339501,14260,medium
sv,1761201,Gelatinocrinis,42746829,49808,medium
sv,5653800,Glenbar National Park,58177787,23724,medium
sv,225386,Gladys Cooper,58562118,14094,medium
sv,384048,Georgiens historia,55010515,21070,medium
sv,114948,Gladiatorerna (TV-program),56935747,37524,medium
sv,129846,Gerd Hegnell,58066528,15367,medium
sv,43474,Gideonsbergskyrkan,59259542,11434,medium
sv,7188430,Glenveagh National Park,55012357,25513,medium
sv,227382,Genushistoria,59120746,10069,medium
sv,1050231,Girls' Generation,56110200,19594,medium
sv,6250844,Gliastenen,56249840,12819,medium
sv,832122,Georg Malmstén,58696120,14193,medium
sv,354191,Gillingham FC,59240774,13612,medium
sv,452847,Gerhard Herzberg,58965157,12097,medium
sv,543081,Geografins historia,54378072,12035,medium
sv,8576748,Gisslandramat i Gladbeck,58987699,17313,medium
sv,9026094,Ghost of Tsushima,59266989,33980,medium
sv,313115,Girona,58665670,14249,medium
sv,140401,Gerhard Hoberstorfer,58965161,11044,medium
sv,6483810,Geoff Walker,59120779,19588,medium
sv,1042461,Georg Friedrich Händel,58862101,44192,medium
sv,8988430,Geoffrey Arend,58884964,11019,medium
sv,3723022,Glenea,57640693,20064,medium
sv,1555284,Glass–Steagall Act,57260763,13521,medium
sv,25304,General Dynamics F-111 Aardvark,58951693,11542,medium
sv,8966218,Girton College,58965383,54038,medium
sv,896905,Generali Ladies Linz,56809555,16098,medium
sv,609049,Georg Starbäck,57289218,16242,medium
sv,8945068,George Simion,57529230,11426,medium
sv,47774,Gdynia,59220592,13121,medium
sv,426998,Gizaplatån,55011910,12128,medium
sv,103850,Genline,57196657,10264,medium
sv,991263,Genealogisk lista över svenska kungligheter,56839655,53500,medium
sv,9594,Gerald Ford,59264519,15909,medium
sv,9587,Ronald Reagan,59264532,61291,long
sv,8236052,Olof Thunbergs teaterproduktioner,57777098,115914,long
sv,28858,Sportåret 2007,59256113,54452,long
sv,1459722,Richard Lynn,58703514,64338,long
sv,8226386,Riksdagsvalet i Sverige 2022,59259343,205940,long
sv,1511438,Ostoja,58958855,80985,long
sv,8754,Slaget vid Kliszów,59130774,53602,long
sv,141012,Oscar för bästa film,59138454,71313,long
sv,6123,Oscar II,59057121,65334,long
sv,1073231,Slaget vid Helsingborg,59176938,159575,long
sv,280022,Salome (opera),58276610,65436,long
sv,5066845,Spelartrupper under Europamästerskapet i fotboll 2008,30900905,65070,long
sv,5060,Slaget vid Lund,59263335,128093,long
sv,4798951,Riksdagsvalet i Sverige 2018,58301133,110172,long
sv,254999,Sergio Ramos,59241459,69855,long
sv,7995544,Slutspelet i Uefa Europa League 2016/2017,49323656,57484,long
sv,9152,Runor,59237699,81558,long
sv,8753147,"Serie A2 2020–2021 (volleyboll, damer)",56258853,63575,long
sv,3946264,Rysslands ockupation och annektering av Krim,58887416,63860,long
sv,354527,Spelartrupper under världsmästerskapet i fotboll 1974,58953692,52880,long
sv,26088,Starrsläktet,48655468,72231,long
sv,28193,Slaget om Atlanten,59244642,50562,long
sv,170633,Profeten (Meyerbeer),58280600,66047,long
sv,2018991,Spelartrupper under afrikanska mästerskapet i fotboll 2013,59261992,56975,long
sv,98827,Smash (musikalbum),58703836,76713,long
sv,4987605,Rihannas diskografi,57323869,60708,long
sv,7472,Peking,58988166,53892,long
sv,3971266,Spelartrupper under världsmästerskapet i ishockey för herrar 2014,56264896,56902,long
sv,7092,Stora nordiska kriget,58937271,131513,long
sv,8559931,Spelartrupper under Europamästerskapet i fotboll 2020,59245801,162468,long
sv,8773969,Paleolitisk forskning i Grekland,57597915,57353,long
sv,692972,Paranthropus robustus,58833248,52149,long
sv,8585462,Premier League 2021/2022,59262159,53178,long
sv,7319,RMS Titanic,59161795,190249,long
sv,1038931,Radioheads diskografi,58291483,76756,long
sv,34868,Sportåret 1989,59192252,52686,long
sv,66196,Parfym,59171084,71307,long
sv,9010644,Relationen mellan kronprinsessan Mette-Marit av Norge och Jeffrey Epstein,59209217,60269,long
sv,468947,Schengenområdet,58355483,82024,long
sv,8573979,Radovan Ivšić,59108405,51013,long
sv,7054902,Omgång 2 i kvalspelet till världsmästerskapet i fotboll 2018 (AFC),57183367,100494,long
sv,6682,Slovenien,58864936,76672,long
sv,179408,Skaraborgs flygflottilj,58638512,55053,long
sv,28317,Olympiska sommarspelen,59066369,53151,long
sv,152299,Och så var de bara en,59254187,58261,long
sv,703634,Something for Everybody,58907460,66906,long
sv,346254,Spelartrupper under världsmästerskapet i fotboll 2002,55403249,89862,long
sv,1101476,Storbritannien,59242069,83384,long
sv,206395,Simeon I av Bulgarien,57778884,72327,long
sv,139245,Stridsvagn 122,58529334,63195,long
sv,7401,Socialdemokraterna (Sverige),59246714,61981,long
sv,662302,Sloveniens historia,57345969,111879,long
sv,3955193,Spelartrupper under världsmästerskapet i fotboll 2014,59190909,113560,long
sv,392408,Slaget vid Stäket,58706365,84633,long
sv,8488032,Scalateaterns uppsättningar,58844236,69431,long
sv,9311,Romani,59198281,69178,long
sv,57829,Paul Thomas Anderson,59228428,54888,long
sv,4852392,Opinionsundersökningar inför riksdagsvalet i Sverige 2014,57972500,120407,long
sv,1667926,Ryssland i olympiska sommarspelen 2004,57769054,119967,long
sv,8153052,Premier League 2018/2019,59232120,56235,long
sv,1000387,Spelartrupper under världsmästerskapet i ishockey för herrar 2009,51899627,60144,long
sv,147875,"Storgatan, Södertälje",58461107,67593,long
sv,834567,Oscar för bästa ljud,59168442,65211,long
sv,214705,Oscar för bästa internationella långfilm,59138544,60328,long
sv,16897,Reinhard Heydrich,58615677,51272,long
sv,48001,Sture Bergwall,58892963,93188,long
sv,23846,Sagan om ringen (film),59213446,147506,long
sv,8944194,Rivers of Blood,58480497,53609,long
sv,1760158,Sphaeronaema,42678485,50180,long
sv,8700812,Spelartrupper under världsmästerskapet i fotboll 2022,57695087,157620,long
sv,1039740,Plácido Polanco,55348640,61727,long
sv,8700279,Richelieu (slagskepp),55356856,68388,long
sv,7978474,Sameblod,58117460,150519,long
sv,2777373,Spelartrupper under världsmästerskapet i fotboll 1986,55403242,79923,long
sv,2641324,Shin Megami Tensei,55505977,52882,long
sv,1543913,Storbritannien i olympiska sommarspelen 2012,59247191,142549,long
sv,38378,Stridsvagn,59056881,77793,long
sv,1219929,Ritstriden i Kina,57052524,70548,long
sv,52135,Stjärna,59249121,91189,long
sv,158608,Otto Hahn,58538532,73737,long
sv,3706,Schizofreni,58639135,85779,long
sv,858796,Simning vid olympiska sommarspelen,56240945,76412,long
sv,8590,Stockholms tunnelbana,59248609,86765,long
sv,594018,Sebastian Vettel,59257911,64441,long
sv,8039227,Setterquist & Son Orgelbyggeri,59175698,136165,long
sv,65765,Pågatågen,59267693,50289,long
sv,215675,Stockholms kommun,59082678,52711,long
sv,1114995,Secrets,59240691,89075,long
sv,8092884,Resultat i riksdagsvalet i Sverige 2006 efter kommun,51716606,74658,long
sv,834394,Oscar för bästa scenografi,59138756,79759,long
sv,7006,Slaget vid Narva,58567014,94203,long
sv,664785,Somerville College,59245611,104083,long
sv,49965,Reformert kristendom,59265722,54842,long
sv,4872410,Stina Blackstenius,59239355,78554,long
sv,1760213,Polyscytalum,42678483,50215,long
sv,8550718,PDGA World Championships,51674185,91941,long
sv,4969869,Oroligheterna i Burundi 2015,58846398,55062,long
sv,15592,Organisationen för säkerhet och samarbete i Europa,59034580,51721,long
sv,8234573,Opinionsundersökningar inför riksdagsvalet i Sverige 2022,57985173,213732,long
sv,287643,Prince of Persia: The Sands of Time,55908265,88541,long
