lang,page_id,title,latest_rev_id,bytes,stratum
vi,19847998,Kristine Froseth,71066000,3408,short
vi,780846,Kranj,71431304,4796,short
vi,1338102,Krasyliv,73426706,2151,short
vi,1624603,"Krishnapura, Hassan",67633426,2302,short
vi,1411987,Kralovice,74372634,3617,short
vi,2627936,Krananda extranotata,72869414,1664,short
vi,19945419,Krems an der Donau,74352954,20838,short
vi,2627946,Krananda peristena,70196028,1419,short
vi,15006456,Krajnik,69524113,1496,short
vi,584702,Kricogonia,73435964,1897,short
vi,15134998,Krasnosielc,73361867,4378,short
vi,788308,Kristin Scott Thomas,71947614,21236,short
vi,1905173,Kreodanthus elatus,68719260,1319,short
vi,1624591,"Krishnapura, Hosadurga",66701421,2298,short
vi,1624576,"Krishna Kittur, Athni",67633408,2292,short
vi,1362513,Krasnooktyabrsky (huyện),73361814,2505,short
vi,1845269,Krigia montana,70746434,1119,short
vi,1362533,Krasnouralsk,73361906,2475,short
vi,1362518,Krasnoselsky (huyện),73361854,2385,short
vi,2386218,Krameria erecta,66802678,1307,short
vi,19762676,Kristina Ayanian,73508455,5144,short
vi,812766,Kraljevo,74116379,6365,short
vi,1336621,Kristianstad (đô thị),74478521,1908,short
vi,13737776,Krai Tây Nam,73361486,2102,short
vi,13515264,Kristofer Hivju,71490785,1684,short
vi,1905179,Kreodanthus sytsmae,68221690,1304,short
vi,584349,Kriechenwil,74478503,4872,short
vi,1905164,Kraenzlinella lappago,74910784,1317,short
vi,257152,Kramfors (đô thị),73779991,2979,short
vi,476417,Krenglbach,74512179,2918,short
vi,1411992,"Kramolín, Plzeň-jih",71665411,3569,short
vi,1624597,"Krishnapura, Nagamangala",67633420,2317,short
vi,1905166,Kraenzlinella phrynoglossa,66723859,1384,short
vi,15109868,Krajna,74163207,1777,short
vi,1412029,Krhanice,71665467,3542,short
vi,451920,Kreba-Neudorf,56255911,1187,short
vi,1412018,Krašovice,73615445,3555,short
vi,15087814,Krakowskie Przedmieście,73361522,16337,short
vi,402106,Krempel,71244687,1063,short
vi,1362471,Krasnoarmeysky (huyện của Samara),73361652,2464,short
vi,1411979,Krakovec,71665403,3042,short
vi,1362494,Krasnogvardeysky (huyện của Adygea),73361730,2429,short
vi,1411993,"Kramolín, Třebíč",74907882,2964,short
vi,3668682,Kristina Persson,74478522,2919,short
vi,1812530,Krapovickasia physaloides,70500477,1281,short
vi,422434,Kreßberg,43374433,1482,short
vi,1624593,"Krishnapura, Mulbagal",67042531,2268,short
vi,1624595,"Krishnapura, Malur",67042534,2259,short
vi,1905165,Kraenzlinella otopetalum,67646424,1325,short
vi,13630412,Kristijan Bistrović,73473698,5031,short
vi,15073319,Krasnolipie,73361808,1589,short
vi,19835269,Kristen Ghodsee,70860277,8097,short
vi,1362480,Krasnochikoysky (huyện),73361683,2657,short
vi,1338034,Krasnoperekopsk,73361829,2314,short
vi,1276818,Kraśnicki,63500815,1623,short
vi,1362498,Krasnogvardeysky (huyện của Orenburg),73361745,2438,short
vi,2808513,Kristotomus amurensis,70279091,1528,short
vi,1624608,"Krishnarajapalya, Nelamangala",64201051,2361,short
vi,826490,"Krasnogorsk, tỉnh Moskva",74369429,6486,short
vi,14182882,Kristen Wiig,75002003,12007,short
vi,2286865,Kreider-Reisner XC-31,66266754,4257,short
vi,407685,Krillin,74383574,14960,short
vi,1412024,Kravaře,73509868,3035,short
vi,1624580,"Krishnammanahosahalli, Chintamani",67633410,2411,short
vi,19736881,Krautheim,74385241,1615,short
